Sample_ID,Group,score_display,score_column,value_raw,value_zscore_rowwise
iNOA_S2,iNOA_S,ST Lactate Export,ST_Lactate_Export,0.1539516483516483,-0.858448035440545
KS_1,KS,ST Lactate Export,ST_Lactate_Export,0.19596,0.027010499360467493
OA_3,OA,ST DHH Ligand,ST_DHH_Ligand,0.05950867052023121,1.2320873414097755
AZFc_Del_2,AZFc_Del,ST DHH Ligand,ST_DHH_Ligand,0.0858,2.3075083534513237
OA_4,OA,ST DHH Ligand,ST_DHH_Ligand,0.03141762452107279,0.0830506926177456
OA_2,OA,ST DHH Ligand,ST_DHH_Ligand,0.03204761904761905,0.10882000001775208
Ctrl_1,Ctrl,ST DHH Ligand,ST_DHH_Ligand,0.03342647058823529,0.16522056813682023
KS_2,KS,ST DHH Ligand,ST_DHH_Ligand,0.07607473309608541,1.9097058617884342
Ctrl_3,Ctrl,ST DHH Ligand,ST_DHH_Ligand,0.00297080291970803,-1.0805386077805426
AZFc_Del_1,AZFc_Del,ST DHH Ligand,ST_DHH_Ligand,0.03024069820854387,0.03490967764578965
AZFc_Del_4,AZFc_Del,ST DHH Ligand,ST_DHH_Ligand,0.0196816106268161,-0.3969994299600111
AZFc_Del_3,AZFc_Del,ST DHH Ligand,ST_DHH_Ligand,0.03822067901234568,0.3613229554034019
iNOA_B,iNOA_B,ST DHH Ligand,ST_DHH_Ligand,0.01124376731301939,-0.7421411240289209
iNOA_S3,iNOA_S,ST DHH Ligand,ST_DHH_Ligand,0.004901372486434727,-1.0015705556375936
Ctrl_2,Ctrl,ST DHH Ligand,ST_DHH_Ligand,0.01735714285714286,-0.4920795012528509
iNOA_S1,iNOA_S,ST DHH Ligand,ST_DHH_Ligand,0.006020328381548085,-0.9558007636581259
iNOA_S2,iNOA_S,ST DHH Ligand,ST_DHH_Ligand,0.004604395604395604,-1.0137181033407714
KS_1,KS,ST DHH Ligand,ST_DHH_Ligand,0.01668,-0.5197773648122285
OA_3,OA,LC Mature,LC_Mature,0.411875,1.673107899824702
AZFc_Del_2,AZFc_Del,LC Mature,LC_Mature,0.4138333333333333,1.6873351959385066
OA_4,OA,LC Mature,LC_Mature,0.4044827586206897,1.6194032494171269
OA_2,OA,LC Mature,LC_Mature,0.08950000000000001,-0.6689472072499363
Ctrl_1,Ctrl,LC Mature,LC_Mature,0.2383333333333333,0.412327297399231
KS_2,KS,LC Mature,LC_Mature,0.1712396694214876,-0.07510832328192482
Ctrl_3,Ctrl,LC Mature,LC_Mature,0.3898898305084745,1.5133855935431082
AZFc_Del_1,AZFc_Del,LC Mature,LC_Mature,0.1135186781609195,-0.4944514558673428
AZFc_Del_4,AZFc_Del,LC Mature,LC_Mature,0.1171801242236025,-0.4678510419072496
AZFc_Del_3,AZFc_Del,LC Mature,LC_Mature,0.1215128205128205,-0.4363739935270515
iNOA_B,iNOA_B,LC Mature,LC_Mature,0.07086481481481482,-0.8043318699385585
iNOA_S3,iNOA_S,LC Mature,LC_Mature,0.1428594674556213,-0.28129055501195
Ctrl_2,Ctrl,LC Mature,LC_Mature,0.032575,-1.0825074615197272
iNOA_S1,iNOA_S,LC Mature,LC_Mature,0.07880714285714285,-0.7466308386749789
iNOA_S2,iNOA_S,LC Mature,LC_Mature,0.05721515965383468,-0.9034966456797954
KS_1,KS,LC Mature,LC_Mature,0.05156158980582524,-0.9445698434641575
OA_3,OA,LC Immature,LC_Immature,0.012,-1.498040694805473
AZFc_Del_2,AZFc_Del,LC Immature,LC_Immature,0.02183333333333333,-1.2938153055977057
OA_4,OA,LC Immature,LC_Immature,0.02608620689655172,-1.2054887199672277
OA_2,OA,LC Immature,LC_Immature,0.0435,-0.8438271598856761
Ctrl_1,Ctrl,LC Immature,LC_Immature,0.05216666666666667,-0.6638319016008641
KS_2,KS,LC Immature,LC_Immature,0.1068347107438016,0.47155141150560287
Ctrl_3,Ctrl,LC Immature,LC_Immature,0.04897457627118644,-0.7301274172012023
AZFc_Del_1,AZFc_Del,LC Immature,LC_Immature,0.08369540229885057,-0.009021565426807383
AZFc_Del_4,AZFc_Del,LC Immature,LC_Immature,0.09276397515527951,0.17932075536944964
AZFc_Del_3,AZFc_Del,LC Immature,LC_Immature,0.1413675213675214,1.1887524308344803
iNOA_B,iNOA_B,LC Immature,LC_Immature,0.05923703703703704,-0.5169896161026992
iNOA_S3,iNOA_S,LC Immature,LC_Immature,0.1442263313609468,1.2481261511983814
Ctrl_2,Ctrl,LC Immature,LC_Immature,0.07126249999999999,-0.2672365801012044
iNOA_S1,iNOA_S,LC Immature,LC_Immature,0.1512979591836734,1.394994552326735
iNOA_S2,iNOA_S,LC Immature,LC_Immature,0.1304759773202029,0.9625493980747694
KS_1,KS,LC Immature,LC_Immature,0.1603543689320388,1.5830842613794414
OA_3,OA,Hh Response,Hh_Response,0.0189375,-1.0878978263083536
AZFc_Del_2,AZFc_Del,Hh Response,Hh_Response,0.04116666666666667,0.1434226831753758
OA_4,OA,Hh Response,Hh_Response,0.03084482758620689,-0.4283257924172376
OA_2,OA,Hh Response,Hh_Response,0.0225,-0.8905634241324232
Ctrl_1,Ctrl,Hh Response,Hh_Response,0.01816666666666667,-1.130595913328876
KS_2,KS,Hh Response,Hh_Response,0.07880165289256198,2.2281040888698107
Ctrl_3,Ctrl,Hh Response,Hh_Response,0.01715254237288136,-1.1867704006962339
AZFc_Del_1,AZFc_Del,Hh Response,Hh_Response,0.03084051724137931,-0.42856455152452816
AZFc_Del_4,AZFc_Del,Hh Response,Hh_Response,0.033527950310559,-0.2797019555682053
AZFc_Del_3,AZFc_Del,Hh Response,Hh_Response,0.06864102564102564,1.665285477104368
iNOA_B,iNOA_B,Hh Response,Hh_Response,0.03667962962962962,-0.10512377892847394
iNOA_S3,iNOA_S,Hh Response,Hh_Response,0.05308136094674556,0.8034027738050864
Ctrl_2,Ctrl,Hh Response,Hh_Response,0.0325,-0.3366422952175309
iNOA_S1,iNOA_S,Hh Response,Hh_Response,0.06354897959183674,1.3832262874990344
iNOA_S2,iNOA_S,Hh Response,Hh_Response,0.04338675022381379,0.2663978022014079
KS_1,KS,Hh Response,Hh_Response,0.0274629854368932,-0.615653174533218
