panel_celltype,group,gene,source_column
EC,AZFc_Del,CA4,EC-AZFc
EC,AZFc_Del,CABS1,EC-AZFc
EC,AZFc_Del,CABYR,EC-AZFc
EC,AZFc_Del,CALCOCO2,EC-AZFc
EC,AZFc_Del,CALM1,EC-AZFc
EC,AZFc_Del,CALM2,EC-AZFc
EC,AZFc_Del,CAP1,EC-AZFc
EC,AZFc_Del,CAPZA3,EC-AZFc
EC,AZFc_Del,CAPZB,EC-AZFc
EC,AZFc_Del,CAV1,EC-AZFc
EC,AZFc_Del,CAVIN1,EC-AZFc
EC,AZFc_Del,CAVIN2,EC-AZFc
EC,AZFc_Del,CBX3,EC-AZFc
EC,AZFc_Del,CCDC110,EC-AZFc
EC,AZFc_Del,CCDC126,EC-AZFc
EC,AZFc_Del,CCDC136,EC-AZFc
EC,AZFc_Del,CCDC169,EC-AZFc
EC,AZFc_Del,CCDC179,EC-AZFc
EC,AZFc_Del,CCDC186,EC-AZFc
EC,AZFc_Del,CCDC196,EC-AZFc
EC,AZFc_Del,CCDC37-AS1,EC-AZFc
EC,AZFc_Del,CCDC54,EC-AZFc
EC,AZFc_Del,CCDC7,EC-AZFc
EC,AZFc_Del,CCDC70,EC-AZFc
EC,AZFc_Del,CCDC82,EC-AZFc
EC,AZFc_Del,CCDC90B,EC-AZFc
EC,AZFc_Del,CCDC91,EC-AZFc
EC,AZFc_Del,CCL2,EC-AZFc
EC,AZFc_Del,CCL23,EC-AZFc
EC,AZFc_Del,CCSER2,EC-AZFc
EC,AZFc_Del,CCT2,EC-AZFc
EC,AZFc_Del,CCT6A,EC-AZFc
EC,AZFc_Del,CD300LG,EC-AZFc
EC,AZFc_Del,CD52,EC-AZFc
EC,AZFc_Del,CD59,EC-AZFc
EC,AZFc_Del,CDH11,EC-AZFc
EC,AZFc_Del,CDH2,EC-AZFc
EC,AZFc_Del,CDIPT-AS1,EC-AZFc
EC,AZFc_Del,CDK4,EC-AZFc
EC,AZFc_Del,CDKN3,EC-AZFc
EC,AZFc_Del,CEBPG,EC-AZFc
EC,AZFc_Del,CENPJ,EC-AZFc
EC,AZFc_Del,CENPU,EC-AZFc
EC,AZFc_Del,CEP112,EC-AZFc
EC,AZFc_Del,CEP170,EC-AZFc
EC,AZFc_Del,CEP170P1,EC-AZFc
EC,AZFc_Del,CEP350,EC-AZFc
EC,AZFc_Del,CEP41,EC-AZFc
EC,AZFc_Del,CEP57,EC-AZFc
EC,AZFc_Del,CEP85L,EC-AZFc
EC,AZFc_Del,CERS2,EC-AZFc
EC,AZFc_Del,CETN1,EC-AZFc
EC,AZFc_Del,CFAP43,EC-AZFc
EC,AZFc_Del,CFAP97D1,EC-AZFc
EC,AZFc_Del,CFL1,EC-AZFc
EC,AZFc_Del,CHD4,EC-AZFc
EC,AZFc_Del,CHORDC1,EC-AZFc
EC,AZFc_Del,CITED1,EC-AZFc
EC,AZFc_Del,CKLF,EC-AZFc
EC,AZFc_Del,CLASP1,EC-AZFc
EC,AZFc_Del,CLDN11,EC-AZFc
EC,AZFc_Del,CLDN5,EC-AZFc
EC,AZFc_Del,CLEC14A,EC-AZFc
EC,AZFc_Del,CLIP1,EC-AZFc
EC,AZFc_Del,CLK1,EC-AZFc
EC,AZFc_Del,CLK4,EC-AZFc
EC,AZFc_Del,CLPB,EC-AZFc
EC,AZFc_Del,CLPP,EC-AZFc
EC,AZFc_Del,CLSTN1,EC-AZFc
EC,AZFc_Del,CLU,EC-AZFc
EC,AZFc_Del,CMAHP,EC-AZFc
EC,AZFc_Del,CMTM2,EC-AZFc
EC,AZFc_Del,CNN3,EC-AZFc
EC,AZFc_Del,CNTFR-AS1,EC-AZFc
EC,AZFc_Del,CNTRL,EC-AZFc
EC,AZFc_Del,COL15A1,EC-AZFc
EC,AZFc_Del,COL1A2,EC-AZFc
EC,AZFc_Del,COMMD6,EC-AZFc
EC,AZFc_Del,COPS3,EC-AZFc
EC,AZFc_Del,COQ8A,EC-AZFc
EC,AZFc_Del,CORO1B,EC-AZFc
EC,AZFc_Del,COX14,EC-AZFc
EC,AZFc_Del,COX17,EC-AZFc
EC,AZFc_Del,COX20,EC-AZFc
EC,AZFc_Del,COX5A,EC-AZFc
EC,AZFc_Del,COX6A1,EC-AZFc
EC,AZFc_Del,COX6B1,EC-AZFc
EC,AZFc_Del,COX6C,EC-AZFc
EC,AZFc_Del,COX7B,EC-AZFc
EC,AZFc_Del,COX7B2,EC-AZFc
EC,AZFc_Del,COX7C,EC-AZFc
EC,AZFc_Del,COX8C,EC-AZFc
EC,AZFc_Del,CPE,EC-AZFc
EC,AZFc_Del,CPXM2,EC-AZFc
EC,AZFc_Del,CR381670.1,EC-AZFc
EC,AZFc_Del,CRBN,EC-AZFc
EC,AZFc_Del,CREM,EC-AZFc
EC,AZFc_Del,CRHBP,EC-AZFc
EC,AZFc_Del,CRISP2,EC-AZFc
EC,AZFc_Del,CRNDE,EC-AZFc
EC,AZFc_Del,CSMD2-AS1,EC-AZFc
EC,AZFc_Del,CSNKA2IP,EC-AZFc
EC,AZFc_Del,CSRNP1,EC-AZFc
EC,AZFc_Del,CST13P,EC-AZFc
EC,AZFc_Del,CST3,EC-AZFc
EC,AZFc_Del,CT83,EC-AZFc
EC,AZFc_Del,CTNNA3,EC-AZFc
EC,AZFc_Del,CTSA,EC-AZFc
EC,AZFc_Del,CTSV,EC-AZFc
EC,AZFc_Del,CTSZ,EC-AZFc
EC,AZFc_Del,CUL2,EC-AZFc
EC,AZFc_Del,CXCL16,EC-AZFc
EC,AZFc_Del,CXCL2,EC-AZFc
EC,AZFc_Del,CYB5R2,EC-AZFc
EC,AZFc_Del,CYB5R4,EC-AZFc
EC,AZFc_Del,CYLC1,EC-AZFc
EC,AZFc_Del,CYLC2,EC-AZFc
EC,AZFc_Del,CYSLTR1,EC-AZFc
EC,AZFc_Del,CYYR1,EC-AZFc
EC,AZFc_Del,DAAM2,EC-AZFc
EC,AZFc_Del,DAB1-AS1,EC-AZFc
EC,AZFc_Del,DAD1,EC-AZFc
EC,AZFc_Del,DANCR,EC-AZFc
EC,AZFc_Del,DCN,EC-AZFc
EC,AZFc_Del,DCUN1D1,EC-AZFc
EC,AZFc_Del,DDI1,EC-AZFc
EC,AZFc_Del,DDIT4,EC-AZFc
EC,AZFc_Del,DDOST,EC-AZFc
EC,AZFc_Del,DDT,EC-AZFc
EC,AZFc_Del,DDX17,EC-AZFc
EC,AZFc_Del,DDX20,EC-AZFc
EC,AZFc_Del,DDX24,EC-AZFc
EC,AZFc_Del,DDX39A,EC-AZFc
EC,AZFc_Del,DDX4,EC-AZFc
EC,AZFc_Del,DDX5,EC-AZFc
EC,AZFc_Del,DEFB119,EC-AZFc
EC,AZFc_Del,DEFB123,EC-AZFc
EC,AZFc_Del,DEPP1,EC-AZFc
EC,AZFc_Del,DGCR6L,EC-AZFc
EC,AZFc_Del,DHX29,EC-AZFc
EC,AZFc_Del,DHX57,EC-AZFc
EC,AZFc_Del,DIAPH1,EC-AZFc
EC,AZFc_Del,DKKL1,EC-AZFc
EC,AZFc_Del,DNAJA4,EC-AZFc
EC,AZFc_Del,DNAJB8,EC-AZFc
EC,AZFc_Del,DNAJC10,EC-AZFc
EC,AZFc_Del,DNAJC15,EC-AZFc
EC,AZFc_Del,DNAJC2,EC-AZFc
EC,AZFc_Del,DNAJC4,EC-AZFc
EC,AZFc_Del,DNAJC5B,EC-AZFc
EC,AZFc_Del,DNALI1,EC-AZFc
EC,AZFc_Del,DOC2A,EC-AZFc
EC,AZFc_Del,DPCD,EC-AZFc
