LC-OA,LC-AZFc,LC-INOA_B,LC-KS,LC_INOA_S
EGR1,SCRG1,ECHS1,TXNRD1,AC025280.2
CAV1,LGALS1,TMEM176B,AES,CPE
EIF4A2,LRPAP1,MYH11,DCN,CKS2
45907,CCT2,TSEN34,DPT,ACE2
SDHB,HNRNPD,IER3IP1,ZFP36L2,MPC2
IER3,TMEM9B,BABAM1,RBBP8,TXNIP
AES,HSPA5,PRR13,NORAD,CYB5R3
GBP4,B2M,POLD2,PLAC9,SPATA33
MERTK,PLS3,SNX4,IGFBP4,TIMP2
SMARCD2,DNAJB1,DERL2,CD55,CLU
HMGB1,PEG10,GNB2,SNHG6,FXYD6
SERPINF1,SPG21,COPG1,INHBA,DPT
NECAB1,ERRFI1,PERP,HSD3B2,ABHD6
EEF1A1,BX119904.2,PSMB5,CD99,LTBP4
GNB1,CPE,PSMF1,GLUL,GIPC2
INSL3,LINC00467,PSMA1,PNRC1,NORAD
C1orf194,RTN3,MGST1,C3,IFITM3
MT-RNR2,ALAS1,APPL2,BST2,DUSP23
RIDA,HERPUD1,SARAF,C1S,HLA-DMA
ATP13A3,PDCL2,TMEM120A,MYO6,CYP11A1
RNY3,SCAMP2,CALM1,FTL,TEX30
PIFO,HADHB,PABPC1,GSTM1,EDNRA
SNHG10,ILK,OAZ3,LEPROTL1,CFH
FGD4,SMS,GSTM5,MBNL3,MMP2
A2M,RAB29,ALG5,EBP,DHCR7
TSPYL1,NXF1,PGAM1,APOE,PRNP
MCF2,FLYWCH2,CMBL,SEMA3C,IGFBP2
IDI1,PRPS2,MGARP,HNRNPA1,NRK
NUBP1,DEFB123,LDHA,HLA-A,FOXO4
METTL7A,RBP1,DHCR24,BOD1L2,CYBRD1
KCNMB4,ABHD6,CHID1,DHCR7,PERP
FUZ,EIF5A,UROD,LIMCH1,CD63
MT-CO2,SNX4,PPA2,ABHD6,IGF1
KLF10,PPA2,ADIPOR1,MOSPD1,RBBP8
SLC46A3,SDHC,PDK4,CIRBP,LAMA4
ATP6V1E1,BNIP3,CCT7,MFAP4,BBS2
STEAP4,NDUFS2,PSMC5,SLC16A9,LIMCH1
IDH3A,MALAT1,WRB,FABP3,HENMT1
AC073861.1,ACTB,RNF5,CYP11A1,FGF10
PRR34-AS1,FST,LEPROTL1,DAZL,GSN
RACK1,PDK4,SF3B4,OSR2,SPARC
ZC3H7B,EWSR1,ALDH3A2,TAX1BP1,AKR1C1
KIF9,CDK4,WDR45,KLF4,PCOLCE
RPAIN,AC010255.3,SERPINA5,TEX15,INSL3
NDRG4,PROCA1,IGFBP5,SLC1A3,AC011503.1
SNED1,FBXL5,GLB1,ERICH2,SEC11C
C3,ACAT1,IDH3G,FCGRT,MT1X
SARNP,BZW1,RNF167,SQLE,HSPA1A
MT-TM,CD320,ATP6AP1,HACD2,RBMS3
POLR2I,ZNF160,CD9,LYPLA1,FST
FHL2,ERGIC3,EFNA1,CDKN3,ABCA8
TMEM56,NUMA1,GRINA,MGARP,PROK1
CDV3,MPC2,GSTM3,SCUBE1,FANCI
SEC63,FAM114A1,CPVL,SPINT2,GRAMD1B
THRAP3,NBN,PCMT1,FABP5,AP1S1
NTMT1,MOB4,C1orf194,RAB3IP,PLTP
TBCEL,SCARB1,SLC25A3,TPM3,TIMP1
CYB5A,SOX9,CARHSP1,C12orf57,SSPN
ACAA1,CLK4,DEGS1,PERP,FLRT2
EPB41L4B,GAGE2A,TAF9,CMTM2,LEPROTL1
LMOD1,STOML2,SPATA3,TMCO2,COL1A1
ST6GALNAC1,ARL4A,TMCO5A,TAGLN,PI16
S1PR3,CREM,DNASE2,TSTD1,RBM47
HIST1H1E,ABCA5,GRN,CD244,TM4SF1
NUPR1,MPLKIP,PGRMC1,CD81,LAMA2
VGLL3,RBBP8,NAA20,PEMT,RHOU
CYP19A1,WDR45,YIPF3,WNK3,CYP1B1
NACA,BEX3,SERINC3,PIWIL2,AAGAB
MEG3,DERL2,SNRNP40,CLDN1,EMP2
ETFRF1,TSFM,NDRG2,IDH1,ALDH1A1
CSRNP1,SDHA,TMEM38B,PRSS23,B2M
YARS,SELENOH,HLA-DMA,EMP2,TIMP3
NACA2,APOA1,TSNAX,HMGCR,PPIA
PPA1,TMEM109,GSTA1,MPC2,TGFBR3
GSTM3,MT1X,TMEM138,NR2F2,RCBTB1
SLIT2-IT1,RHOA,VDAC3,TUBA1A,EMP3
AGPAT1,HIST1H1C,TOMM22,NUSAP1,BEX3
UBA52,DCUN1D1,GORASP2,CFD,FBN1
RASD1,NRIP3,SLC1A3,TMA7,IL33
ECE1,HMGA1,CLDND1,PRAME,TFPI
LY96,CYC1,CD47,HMGA1,KLHL4
LRRC58,LINC00844,MEG3,ALAS1,CFD
SERINC1,SKAP2,COMT,ZFAS1,DNM3
OAT,CHRDL1,AMZ2,EMP3,PRPS2
SNCA,NDUFS8,PRMT1,HSPD1,TMEM41A
TMBIM4,LEPROTL1,KLHL4,PRDX2,TUBA1A
HMGCR,PRELID1,COPS8,ELAVL2,NR2F2
HNRNPD,OAZ3,LGMN,FST,GKAP1
CAPZB,HEBP1,PTP4A1,GRB14,JAZF1
CCDC110,TUBB4A,KCTD6,DYNLRB2,ITM2A
TCTEX1D2,BACE1,SLC25A6,FDXR,HACD2
UHMK1,NDUFAF3,TECR,STEAP4,MAOA
PIGH,AURKAIP1,REEP6,TMEM97,DHCR24
VEGFB,ANXA7,TMEM99,RACK1,RBM3
RMDN2,CCT7,PPP4C,C1orf194,HNRNPA1
PRUNE2,PLPP1,SUMO1,ANGPTL1,FN1
HHIP,RAB34,MT-ND4,TMEM41A,LRRN3
KLF2,LHCGR,ERAL1,PRNP,MDK
GRID2,EFEMP1,TMEM41A,SPTSSA,FAM229B
AGL,CD9,OAZ1,PLPP1,TUBB
RHOB,LXN,RAB5C,PCCB,KCTD12
PDXK,ACADM,VDAC2,ATP6V1D,EBF1
GSTA1,PRRC1,CCDC196,NRIP3,H3F3B
ANAPC15,EGFLAM,COMMD10,F10,HMGB3
C2CD2,TMEM98,SNRPN,TUBA1C,RHOBTB3
BRF2,EIF3I,PRDX1,SKAP2,TPT1
CD63,KCTD12,HSPA8,FOSB,IFITM2
LSS,BIN1,SDHA,G3BP2,SERPING1
MT-ATP6,SCFD1,SLC25A17,SERPING1,CCNI
MIR4458HG,DPEP1,PEF1,FDX1,MT2A
TRIM8,COX6A1,IMPDH2,TKTL1,PDGFRL
PSTPIP1,SPATA33,UBA3,PDGFRA,EMB
MYH11,DAZAP2,VAMP2,ANKRD7,FABP5
MPC2,PAGE2B,MAGED1,KIF2C,COL6A1
GNS,STAR,BABAM2,ARL2BP,INHBA
SRSF11,PHYH,UQCRFS1,AVPI1,PMP22
HIST1H2AA,CMTM2,GJA1,TMEM167A,EPB41
NEK7,C8orf59,CABS1,AHNAK,OSR2
ABRACL,HIST1H1E,MSMO1,RHOU,TSFM
TRDN,GLB1,OAT,PRDX3,ALKBH7
PRMT5,CD81,TRIAP1,DDX5,RBFOX2
ASPA,PPM1G,UQCRC2,FAU,ASS1
MICA,EXTL2,ORC5,AAGAB,EGFR
SAMD1,C1orf194,BX119904.2,NOP10,RHBDD2
NIPA2,PDPN,CCT8,LGALS1,SPACA9
PTPRG,BTG2,SGK1,HNRNPD,JUN
FASN,ALDH1A1,ASS1,HEXIM1,LSAMP
TMEM176A,DDOST,TRIM24,HORMAD1,ANXA5
COL18A1,PPA1,TRUB2,SSPN,CD81
EFNB1,GSTP1,POLR2E,SPESP1,COL3A1
C11orf71,CCT3,CPM,MIF,APOD
HSD17B12,MT-ND3,ECI2,MMP2,SNX24
FLII,ROPN1L,IGFBP4,BTG1,SFRP4
MIR22HG,INSL3,RCBTB1,PCOLCE,TRDN
