EC-OA,EC-AZFc,EC-INOA_B,EC-KS,EC_INOA_S
,TMEM258,PPP1CC,SLC25A37,POLB
,TGFBR3,45904,COL4A2,SMARCA2
,KDELR2,CDKN1A,DUT,PRNP
,SOX4,SNX2,ACTRT3,FAM114A2
,SRP54,IFI44,RNH1,CEP350
,IFI16,MORF4L1,DDIT3,PCBP2
,JUND,ATP6AP1,IL11RA,COMMD2
,RGS2,LIPA,PPIL4,SERINC1
,ASS1,HPRT1,PURA,LYPLA1
,KLF13,PPP3R2,AL445524.1,MYH9
,DEPP1,SPATA20,DCXR,TBCA
,MAP1B,PACRG,GIGYF2,PIK3R1
,ZCWPW1,LINC01723,CSNK2B,AC022706.1
,CLDN11,PPP1R1C,AGPAT1,SNX9
,GART,AC006012.1,CENPJ,C12orf10
,ZFP36L1,45719,SLCO2B1,TRAK2
,PPP1R14A,TIMM22,HMGB3,COX10
,CTSV,LINC00710,SRRM1,BRAP
,HLA-DQB1,MACROD2-AS1,TRIM47,DNAJC2
,SWAP70,FAM71D,HEBP2,ZFAND5
,AC116533.1,AC135977.1,RN7SL2,ZC3HAV1
,EIF4B,AC008114.1,YY1,CD99
,POGLUT1,LRRD1,POLB,PDGFB
,NDUFB8,PP2D1,TRMT6,CDK6
,C19orf24,AC097375.2,CDC42,PTMAP2
,SCRG1,LINC00927,FADS2,COL4A4
,SPARC,HENMT1,FANK1,INMT
,ANXA1,TMEM270,APH1B,45911
,JUNB,SPACA1,AFG3L2,SERPING1
,APLNR,KIF17,CEP85L,MAGED1
,YBX1,PSMD6,NDUFB8,COX7A2
,JCAD,KXD1,DOCK6,PTPRM
,HSD17B12,COX14,HS6ST1,ZNF462
,G0S2,CCDC7,COL4A4,MYH11
,LPP,MYO9A,GPM6A,AAMP
,CLSTN1,TMEM42,FAAP20,FHL2
,COX7C,PRKRA,TBCA,FATE1
,ID2,ELOVL2,CTSD,OAS3
,SEC62,POLR3C,RNASE1,TIMM50
,PRRC2B,AMZ2P1,FGD5,FOSB
,CDH2,45726,RAMP3,BNIP2
,ACAT2,CCND3,PET100,FAM76B
,CTSA,FAM220A,LRRC8C-DT,KCTD20
,ATXN2L,ATP8B1,RCAN2,FADS1
,EDNRB,AKAP1,IRF2BP2,STAT1
,UQCR10,ZNF24,IFITM2,FGD5
,UQCRQ,EIF3G,RGCC,UQCR11
,AFAP1L1,ZNRD1ASP,RASIP1,GPIHBP1
,FOSB,DZIP1,SLC52A3,DOCK1
,CCDC186,DDX39A,NUP214,COL3A1
,NOSTRIN,SERP2,CCDC32,BMI1
,SMIM26,PRPF38A,UQCC3,PPFIBP1
,SNHG9,YBX2,ANXA2,HIPK2
,EVL,PAM,APLP2,PPP1CB
,APOD,TAPT1,IFNGR1,BACH1
,MMP15,ADIPOR1,MYLK,TFAM
,NDUFB4,EPB41L3,MPP1,PSMB5
,EGR1,KNSTRN,FOPNL,C11orf1
,C10orf128,45902,EDF1,S100A6
,PRMT1,NIF3L1,SELENOH,ANKRD10
,PRKAR1A,CAV1,EGR2,ACTN4
,GNG5,SLC25A37,AC090498.1,HECW2
,RAN,CXorf36,CARD10,RSRC2
,MINOS1,GSDMD,LOXHD1,PRDX4
,RAB8A,TBPL1,EIF3F,TRIM22
,IL33,CPVL,SERTAD4,MCRIP1
,PRKAR2B,FAM114A2,CHMP6,YIPF3
,AL136979.1,RACK1,NUBP1,C5orf15
,SNRPD2,BABAM1,LRRC27,FBXL3
,NPIPP1,MT-ND4,EMC7,NDFIP1
,C12orf57,GABPB1,UBE2V2,SYNE1
,PIN4,BCKDK,AC034236.1,ZDHHC3
,KITLG,DNAJB12,DLK1,H1FX
,MAF,CYP2R1,YPEL3,FILIP1
,DDX24,AL445524.1,PSMB8,HSF2
,APP,NUP50,YWHAB,CD81
,PSMD7,TNFRSF1B,NME5,DTX3L
,ROMO1,COMMD10,CXCL8,C3orf38
,IER5,YIPF3,MFF,DPYSL2
,RHOB,VSIR,CCNI,FBXO7
,TACC1,MIEN1,CUEDC2,MAOA
,TGFBR2,MKL2,PSMC1,TSPAN2
,TSPYL1,MYNN,PSMA4,CSGALNACT1
,ECHS1,SHARPIN,TMEM259,EIF4A2
,NDUFB3,RTCB,SRSF2,NIPSNAP3A
,PSMC1,EXT2,NAPRT,MCL1
,ATP5MF,DNASE1L3,PEAR1,VAMP3
,ITPR3,HNRNPA1,ITPR3,LEPROT
,C1orf115,PCAT6,KLHL7,RBFOX2
,SMC3,TBK1,DNALI1,DNAJC4
,TSC22D1,SLC16A7,PSD3,ZFAS1
,TCEAL9,SMC1A,PCGF2,AP2M1
,AC113935.1,PCCB,CDH11,NIPSNAP2
,TMBIM4,DHX29,DHX38,MINDY4
,PDIA6,TNFRSF11B,ASMTL,ST8SIA6
,HP1BP3,CIAPIN1,ALDH1A1,ARL6IP5
,TBCA,TMX2,ITGB5,VSIR
,ERH,SNX3,VASP,C1orf123
,RAB31,HAT1,HDAC7,RALY
,MEF2C,BCAT1,CEBPD,PEG10
,QKI,PSMG2,SPESP1,NT5E
,ATP5PO,MEA1,CTSF,PTPRK
,GNB1,TIPARP-AS1,TUSC1,SERPINE2
,NDUFA2,IFITM2,INSR,CD40
,LIFR,GFM1,TKT,ZFHX3
,HEXIM1,THBS3,LDHC,GZF1
,SNORD3A,HRASLS5,BX284668.5,CSRP2
,JAG1,RGL2,KDM5B,GIMAP1
,SUSD3,LDOC1,GNPTG,NDUFA11
,ARHGAP18,EFCAB1,NINJ1,TIMMDC1
,CXCL2,RBP5,SCPEP1,CYBA
,PHB,FIP1L1,ESYT2,ELP5
,COX7B,TSPAN13,HBEGF,SGCB
,MYADM,TWSG1,MT-TT,SAMM50
,COL15A1,MYL12B,ATG101,ZCWPW1
,HNRNPA0,XRCC4,SNX6,SH2D4A
,ATP5MC2,SQOR,CNBP,TJP1
,LSM1,MINDY4,FUBP1,SETX
,MYCT1,PRNP,ATAD1,PAIP2
,AIF1L,APOPT1,CPNE2,APOL6
,TMEM100,AHCY,CD300LG,ABI3BP
,USP22,TRMT13,HSPD1,HOOK3
,ZYG11B,STARD10,TRIOBP,45907
,HLA-F,SNHG3,CAVIN3,IFI16
,SPOCK1,SERINC1,DTD1,BCCIP
,APOBEC3C,C1R,CCND1,NUDCD1
,AC034236.1,AL451165.2,PTPRM,RFC1
,PDGFC,ATF2,GRAP,EPB41L4A-AS1
,AFG3L2,GNS,MTND3P10,GYG1
,EIF3M,ASB8,LUC7L3,MPC1
,NOP53,RAD51C,SHANK3,ARHGAP5
,SPP1,NSD1,TSPAN3,FTL
,HNRNPA3,MTATP6P1,PRNP,STOM
,KCTD12,IGFBP7,NUCB1,PEG3
,PPP1R15A,PSMB2,DZIP1,KIAA1586
,EHD4,UBL7,UPF2,HECA
,SMIM27,PTMAP2,IDH3B,MTCH2
,TMEM243,FTH1,FOXC1,CREG1
,MIR4458HG,NARF,FAM129B,AURKAIP1
,SSBP1,MTIF3,EIF1AX,PNRC2
,ESAM,LRRC8C-DT,TLN1,TCAF1
,LPAR6,HSDL2,PCAT19,SUCLG2
,SMARCD2,CENPJ,ECSCR,GJA4
,PFDN4,LPIN1,FRMD3,LRRC1
,UTRN,RAB3IP,PSMD12,KIF27
,WDR83OS,BOD1,PFDN5,RHOBTB3
,C1orf54,MBD4,LAPTM5,ZNF706
,ADGRF5,WDR20,MET,TIE1
,SOX18,MEOX1,ANKRD29,ITGA9
,SNRPG,RRP1B,RBBP8,EFCAB14
,SLK,STK16,B9D1,APP
,CTSZ,C1GALT1C1,SNHG5,HNRNPH2
,COX17,RPA1,TIAM1,TNFRSF1A
,NSRP1,EXOC6,ACO2,VAT1
,PLPP3,SECISBP2,SMDT1,TRMT6
,YWHAE,PIH1D1,NOTCH4,SUDS3
,ASAP2,PIK3R3,LAPTM4A,FARP2
,PTPRM,WDR61,RANGAP1,PELO
,NFIB,ERCC1,BAZ1A,CCNDBP1
,PRDX3,ARL4A,AP001324.1,HMGN5
,AL450405.1,ABCA17P,STX10,PLCG2
,ITPKB,SNAI2,SORBS3,45722
,CD52,SPCS1,PDGFB,SERPINB1
,PTMS,GSTO2,ACTA2-AS1,RTL8A
,SMARCA1,KIF1B,PPP2CB,DBF4
,FOXC1,SUCLA2,RETREG1,DHX29
,ENPP2,NDFIP2,PDE2A,CLTC
,RBBP6,SLC25A33,ZNF91,CLK1
,UQCC3,CDC5L,COL4A3,SRP9
,RSL24D1,RCN2,SIX5,TMEM59
,CDH11,IL11RA,TMEM53,CYP1B1
,RSL1D1,LIMCH1,C3orf38,FAM114A1
,RBX1,INTS14,ITPK1,CYBRD1
,SLC30A1,LRRC75A-AS1,FAM13C,SPATA13
,NDUFB2,SIRT2,C1orf43,HMGCS1
,TCEAL8,NACA,CYB5R3,SLC25A3
,ECI2,TMSB4X,CCDC110,LPIN1
,,XPR1,AL590867.2,C6orf48
,,CYTH1,RAD17,TOX4
,,RHOU,TMBIM4,GHITM
,,HACL1,OSBPL10,STMP1
,,CCNH,TEX30,CTSO
,,FAM135A,CCDC68,SASH1
,,TMEM242,RTL8A,SLC25A46
,,CSNK2B,ADI1,RDX
,,CEP41,SBNO1,DZIP3
,,RHOG,LGALS3,MIEN1
,,AHNAK,POLR2E,RAB13
,,ERGIC2,RASSF1,SERTAD1
,,FBXO3,AL590226.1,VARS
,,CMAS,NAA10,PIM3
,,BAG3,POLR2J3,SPDL1
,,DNALI1,HNRNPM,PDXDC1
,,SLC2A3,GSN,NSMCE1
,,TMEM128,CTBP2,USP33
,,COPG1,ZDHHC19,SELENOK
,,SNAPC5,XIAP,MTIF3
,,SPTBN1,HCFC1R1,NKTR
,,HLA-DPB1,REXO5,EIF2B4
,,NDUFV1,EIF4E,CDKN1A
,,PPP1R11,FHL5,GOSR2
,,MED27,EFNB2,EEF1E1
,,SPINT2,MAP3K20,CSTF3
,,CEBPD,GSTM1,CBLN1
,,RBM39,RANBP9,ZNFX1
,,YIPF1,EFEMP2,SH3GLB1
,,RBM3,CPSF3,ANAPC7
,,CRYL1,PDE9A,VMA21
,,WDR3,FANCM,MOB4
,,DCP1A,MOB2,CASC4
,,UXT,TNFAIP3,CEP57
,,XBP1,ANXA6,MAP4
,,C9orf116,MPHOSPH9,NKAP
,,TMEM99,TUBG1,HLA-DQA2
,,UBE2E3,BCCIP,ELOC
,,SPAG17,KIAA0586,SLC2A3
,,TIMM23,SDAD1,TES
,,OSCP1,ZNF593,BAG1
,,AL450405.1,CCZ1,MORF4L2
,,SPINK5,GABPB1-IT1,LYRM1
,,FOS,GSKIP,RNF168
,,TXN2,PNMA1,RAB6A
,,MANF,DAD1,COX7A1
,,C7,BPHL,ARHGAP26
,,SORBS3,PIGP,MPZL1
,,ATP6V0B,AC004057.1,EGFR
,,SLC25A17,VPS28,SCRN1
,,KRT18,CENPK,AL450405.1
,,MPDU1,ARHGEF1,ETS2
,,LRRC27,TESC,TGFBR3
,,SMIM20,SRM,ARPP19
,,SGF29,SPTBN1,ITM2C
,,OSGIN2,MYH9,FABP5
,,POLR1C,PSMB4,PHB2
,,ABCA5,ITPKB,DNAJA1
,,EFCAB11,MTA1,C11orf74
,,TAF2,CEP350,ELF1
,,PRKAG1,LTC4S,STX8
,,SDHAF3,PDGFD,FBXO21
,,MTAP,PCSK7,KIAA0586
,,CDC27,RBCK1,PCYOX1
,,ZNF100,PNPLA2,EIF3D
,,SF3B5,ISCA1,EPAS1
,,JTB,KCNN3,SLC3A2
,,NOP56,CAMKK2,GRHPR
,,ECD,UNC50,ARID2
,,HNRNPR,HTRA2,FAM210B
,,MSH2,IER5L,SCCPDH
,,CNN3,AASDH,RNF141
,,COL4A1,CD302,PLSCR1
,,TXNDC9,SERPINF1,PRCP
,,PDCD6,STIP1,NDUFV3
,,PAXX,UQCR10,SYNJ2BP
,,ACAA2,C7orf49,MPDZ
,,PSENEN,MYOF,RNF7
,,POP4,LRP10,TMEM18
,,CLIC1,JMJD8,MGLL
,,KDM4D,MIR1244-2,YWHAQ
,,ZFAND3,FAM98A,ADAMTS9
,,MPHOSPH9,ZNF766,HSPA9
,,PRPF4,NBL1,GIMAP6
,,AC005912.1,GID4,SUCLA2
,,FAM104A,CD81,NPDC1
,,SPA17,IDS,GTF2H5
,,VTA1,G2E3,MIB1
,,DNAL4,PTMAP2,LAMB1
,,CEBPZOS,HGS,RNF216
,,SNAPIN,MAF1,TMEM245
,,NME6,LITAF,CGGBP1
,,REEP5,DCAF1,SMC6
,,RETREG1,NUDT22,HSPA5
,,TMEM138,TMPO,PCCB
,,SNHG11,ANKRD36,TUBB4B
,,C2orf40,LIMA1,NDUFB1
,,FKBP10,NOP10,GSTP1
,,PRRG1,TBCB,OST4
,,DAD1,AK9,ZCCHC8
,,GIMAP6,FAM98C,RTF1
,,WDR13,CCNDBP1,DEK
,,BRI3,WDR74,SRSF6
,,AP3M1,TMEM199,HNRNPA2B1
,,COA3,IFI6,MYO9A
,,HSP90B1,GYPC,PTGIS
,,OBSL1,AIF1L,ATP1B1
,,DHX57,MTIF2,EPSTI1
,,C9orf16,AHCTF1,ADAR
,,BLVRA,ECM1,RUNX1T1
,,PEX3,SNRPN,MT1F
,,SH3YL1,TSPAN31,COX5B
,,GPN1,LSM1,TXNL4A
,,ATP6V1G1,FAM114A2,LIMA1
,,MGP,CRACR2B,PRKRIP1
,,CISD2,PKM,EIF2S2
,,SRSF4,CCDC90B,HSPE1
,,CADM1,ZFR,TRA2B
,,ARID2,SPHK1,EIF5A2
,,NUDT15,ZNF768,HOXD8
,,FRY,TUBB4B,CIR1
,,PLPP5,45908,PSMG2
,,CALHM2,MED13L,PPP4R2
,,TARDBP,PCCB,TRAPPC3
,,DERA,DDAH2,MYO1B
,,CD9,SPPL3,TTC28-AS1
,,GPAA1,SNX21,LMBR1
,,BTF3,YPEL1,SNRPE
,,YIF1B,HSF2,IFT88
,,CTSD,HMG20B,RGS16
,,MAPK10,FADS1,FAM171A1
,,ZNF160,MYL6,PTPRB
,,STK3,TP53I11,TESC
,,MT-ND6,SYNM,TMEM37
,,CEP350,GLUL,IL33
,,NXT1,LZTS2,HSPA8
,,SOX4,LDOC1,ST6GAL1
,,AC007969.1,LRRC1,B4GALT1
,,PINX1,PSMD7,CNOT6L
,,ARL13B,GOLIM4,TSC22D1
,,ABHD2,RGS3,MPLKIP
,,RNF13,THBS1,NHLRC2
,,CDA,LIX1L,TMEM183A
,,PARK7,GNL2,TCEAL4
,,SP110,PLAC9,HMGCR
,,NBN,TNFRSF4,RAN
,,NSMCE2,H6PD,IFT22
,,ANAPC10,TRIM28,SPOCK1
,,FARSA,HLA-DPB1,ZBTB20
,,SKP1,CCNY,H2AFZ
,,TDGF1,MLF2,MYO1E
,,BZW1,45723,RAB7A
,,CCDC138,RAB40B,HK1
,,SMARCAD1,ZNF280B,NASP
,,RANGAP1,GPNMB,APOLD1
,,MEIOC,ANGPTL1,SMAD1
,,GNB4,CTDNEP1,
,,CAST,CUTA,
,,RRP36,RASSF3,
,,EIF2D,ITGA9,
,,HEIH,ORMDL1,
,,BACE2,BRAP,
,,OXLD1,ISG15,
,,UTP23,ATP2B4,
,,NRGN,AL358472.1,
,,RSPH3,PRKDC,
,,HIST1H1E,LRRC6,
,,EMC7,TRNT1,
,,HLA-DQB1,DNTTIP2,
,,VARS,TMEM37,
,,CARD8-AS1,C12orf75,
,,STARD7,NSA2,
,,SPEF2,PDGFC,
,,GPR108,CYBRD1,
,,NDUFA1,TP53I13,
,,BACE1,GSDMD,
,,HNRNPH3,CRHBP,
,,PGAM1,RNF168,
,,NRBF2,LRPAP1,
,,TIPARP,HECTD1,
,,ELP6,RBM39,
,,UTP18,SRSF10,
,,LSM14B,TNFRSF14,
,,TMEM41A,DVL1,
,,AMD1,APOE,
,,ARPC3,DPT,
,,PHTF1,CLN5,
,,TSG101,APOLD1,
,,GPRC5B,PHYHD1,
,,PIR,NCOR2,
,,NOL10,ZBTB1,
,,MT2A,TSR2,
,,TLR4,FAM53B,
,,RND3,C5orf56,
,,GAS5,YWHAH,
,,LARP1B,CTBP1,
,,TMBIM6,AC109326.1,
,,ANKRD36,SRGN,
,,USPL1,TSKU,
,,ISY1,TMEM126A,
,,CENPU,GTPBP4,
,,GSTZ1,CST3,
,,SNRPC,TIPARP-AS1,
,,GNG11,ZFAND4,
,,C11orf65,CEBPG,
,,C17orf62,EHD1,
,,PSD3,PITRM1,
,,NAGK,PYCR2,
,,BRD1,TMEM18,
,,DYNLL2,PAFAH1B2,
,,H3F3B,DPYSL3,
,,PEBP1,UBE2D3,
,,HBS1L,TRMT112,
,,DPF2,NFIX,
,,COX6C,GPBP1L1,
,,SOD2,ZMAT5,
,,PLRG1,UQCRB,
,,UBB,RASSF8,
,,CWC25,LAMA5,
,,BCKDHB,C6orf141,
,,SYCE3,MSN,
,,TMEM140,FYN,
,,PITHD1,KRIT1,
,,E2F4,ATP6AP1,
,,SMC2,SIGIRR,
,,NUPR1,EID1,
,,ST3GAL1,FAM189A2,
,,GTPBP8,COPS6,
,,SUMO2,LRIG1,
,,MED23,GGA1,
,,CPSF2,STMP1,
,,RNF17,ZNF580,
,,RPAP2,GBP1,
,,CGRRF1,GVINP1,
,,PDE6D,AL451165.2,
,,CDK7,ALYREF,
,,SOCS7,KIF26A,
,,GID4,C17orf80,
,,TMTC1,NR1H2,
,,PARN,FAHD2CP,
,,SELE,HDGFL3,
,,TTC32,MRNIP,
,,CD36,ZNF384,
,,TOMM7,ZNF638,
,,NDRG2,MIF4GD,
,,SQSTM1,TPRG1L,
,,FABP5,PYCARD,
,,KYAT3,POLR3C,
,,PSORS1C1,THAP2,
,,TGFBR2,PIH1D2,
,,FMO2,KIF27,
,,HSPB1,AFF4,
,,GZF1,GTF3C6,
,,JUND,PLIN2,
,,EIF4A2,EBPL,
,,CALM3,AP002004.1,
,,CKS2,AFAP1,
,,FLT1,PAIP2,
,,DAZL,AMZ2,
,,C11orf58,CYSTM1,
,,VOPP1,MMP24OS,
,,TMEM33,TMEM54,
,,TMEM100,EXOC7,
,,ROMO1,HDDC3,
,,TJP1,ZNF608,
,,SERF2,NUP58,
,,IL33,CCM2L,
,,PTTG1IP,USP42,
,,MEF2C,NPTN,
,,HNRNPA3,ECI2,
,,PNRC1,GSTM4,
,,EMP3,TNFSF10,
,,ISLR,ACE,
,,ATP5F1E,AIP,
,,CHD3,ZNF322,
,,PRPF6,NUPR1,
,,TPM3,PLP2,
,,,FSCN1,
,,,C8orf82,
,,,PCYT2,
,,,ANKEF1,
,,,MMP15,
,,,ELOB,
,,,RCN1,
,,,PAM,
,,,METTL26,
,,,UNC119,
,,,MED21,
,,,NTAN1,
,,,SEMA6D,
,,,IL16,
,,,PCOLCE,
,,,ATP5PB,
,,,SIVA1,
,,,RING1,
,,,HEY1,
,,,RFXANK,
,,,RBPMS,
,,,TSPAN15,
,,,JTB,
,,,STAB1,
,,,RCN3,
,,,LUZP1,
,,,NOL11,
,,,UBXN4,
,,,YWHAQ,
,,,ZNF32,
,,,CLIP1,
,,,ZNF428,
,,,EPAS1,
,,,PITPNA,
,,,EVL,
,,,MAP2K2,
,,,ANKRD12,
,,,NCBP1,
,,,FMNL2,
,,,PAPOLA,
,,,NBAS,
,,,KAT6B,
,,,HSPBP1,
,,,DNAJC24,
,,,VTI1B,
,,,C10orf128,
,,,RARS2,
,,,DALRD3,
,,,MKRN2,
,,,PGLS,
,,,DCUN1D4,
,,,DPCD,
,,,ZNF22,
,,,SH3BP4,
,,,HLF,
,,,HSPH1,
,,,PPP1R14B,
,,,RBBP7,
,,,MPC2,
,,,EIF3B,
,,,XPR1,
,,,GPN3,
,,,MED30,
,,,EIF3D,
,,,RBM23,
,,,CTNNBIP1,
,,,MACF1,
,,,FLI1,
,,,45910,
,,,FDFT1,
,,,HS3ST1,
,,,CRYAB,
,,,KANK2,
,,,AKT1,
,,,HEXB,
,,,DRAP1,
,,,LARP1B,
,,,PARP14,
,,,SPIDR,
,,,TLNRD1,
,,,POLR2C,
,,,MAP3K11,
,,,ANXA1,
,,,DRG1,
,,,SAP30,
,,,SREBF2,
,,,PPP5C,
,,,VPS4A,
,,,ATXN7L3B,
,,,FAM204A,
,,,HES4,
,,,PRKD3,
,,,EFCAB14,
,,,AC026271.1,
,,,SRP54,
,,,NET1,
,,,SHOC2,
,,,MAP1B,
,,,AC099560.2,
,,,LIMS2,
,,,U2AF2,
,,,PTGS2,
,,,BROX,
,,,PIAS3,
,,,CHST12,
,,,ATP5F1A,
,,,ATP5MC2,
,,,RGS16,
,,,HNRNPA1,
,,,ARL6IP6,
,,,ARPC4,
,,,PDLIM7,
,,,WFS1,
,,,MAP2,
,,,KLF10,
,,,SLC10A3,
,,,ANKRD10,
,,,C22orf39,
,,,CHMP1B,
,,,APRT,
,,,SUCLA2,
,,,BTN3A3,
,,,GIT2,
,,,RASSF2,
,,,RELA,
,,,MLST8,
,,,PTGIS,
,,,CHORDC1,
,,,SMIM14,
,,,PGRMC2,
,,,NDUFB7,
,,,AMD1,
,,,NDUFA4L2,
,,,PRPF31,
,,,FUS,
,,,BEX4,
,,,SELENON,
,,,CD164,
,,,AHR,
,,,HINT1,
,,,CDC5L,
,,,SRF,
,,,FBXO18,
,,,TRAPPC2B,
,,,GZF1,
,,,TAF2,
,,,NDUFA10,
,,,OFD1,
,,,THRA,
,,,FAM104A,
,,,TMEM245,
,,,CIC,
,,,CDC42EP1,
,,,NOP58,
,,,NTMT1,
,,,PUF60,
,,,SFT2D1,
,,,DNASE1L1,
,,,BEX1,
,,,TALDO1,
,,,DHRS7,
,,,AC093752.1,
,,,PPP1R9B,
,,,NREP,
,,,TRAF7,
,,,ASAP1,
,,,FAM107B,
,,,DDX24,
,,,SEC11A,
,,,HIVEP2,
,,,MT1A,
,,,PPP3CA,
,,,RBM38,
,,,NECTIN2,
,,,FAM50A,
,,,BCAP29,
,,,CWC15,
,,,CMBL,
,,,RMND5A,
,,,TUBB,
,,,ARPC1A,
,,,ZFYVE21,
,,,BRD7,
,,,ABRACL,
,,,AKT1S1,
,,,TRIM2,
,,,RABGAP1,
,,,FRYL,
,,,KLF6,
,,,SLC15A3,
,,,SCARB1,
,,,PLK3,
,,,METTL9,
,,,HTRA1,
,,,HSPA12B,
,,,SMIM26,
,,,CD74,
,,,CALCOCO2,
,,,TOMM20,
,,,NUCB2,
,,,AR,
,,,NFKBIB,
,,,TAPBPL,
,,,AP1S2,
,,,VPS37B,
,,,TIMM8B,
,,,TMEM100,
,,,NDUFB10,
,,,CCDC82,
,,,AP1G1,
,,,RNF111,
,,,NKTR,
,,,PHB2,
,,,C21orf91,
,,,CYB561,
,,,POR,
,,,COL1A2,
,,,SH3GLB2,
,,,DEGS1,
,,,ZC3H14,
,,,NDST1,
,,,ELK3,
,,,UBA1,
,,,ACTN1,
,,,OSR2,
,,,NDUFV3,
,,,UNC45A,
,,,MAP1LC3A,
,,,NARF,
,,,RAE1,
,,,GPX3,
,,,GGTA1P,
,,,TMSB4X,
,,,MDM4,
,,,RRAGA,
,,,TSPO,
,,,PSMD6,
,,,IFI35,
,,,RGS5,
,,,AIMP2,
,,,TAX1BP3,
,,,LMCD1,
,,,NPIPA5,
,,,MARCKSL1,
,,,PLA2G16,
,,,PSORS1C1,
,,,CPNE8,
,,,TMEM47,
,,,CEP41,
,,,HDGF,
,,,FKBP10,
,,,G3BP2,
,,,EGFL7,
,,,RFTN1,
,,,ABR,
,,,TACC1,
,,,KRBOX1,
,,,LRRC8C,
,,,EEF1E1,
,,,ROMO1,
,,,ZC3H15,
,,,CSE1L,
,,,MYO9B,
,,,CSNK1E,
,,,HDAC9,
,,,DHRS3,
,,,CHP1,
,,,CTSL,
,,,ETS2,
,,,DNASE2,
,,,GADD45A,
,,,ZNF524,
,,,CDH5,
,,,CD99L2,
,,,OAT,
,,,DAB2IP,
,,,SNAI1,
,,,DPY19L1,
,,,RAB5C,
,,,TRIP10,
,,,FGD4,
,,,DAAM2,
,,,ARHGAP25,
,,,ARIH1,
,,,YTHDC2,
,,,ZNF704,
,,,MGST2,
,,,ZBED3,
,,,RANBP2,
,,,ARRDC3,
,,,FAM76B,
,,,PDCD11,
,,,ST8SIA4,
,,,NCSTN,
,,,RAN,
,,,GRPEL1,
,,,EMC4,
,,,CKS2,
,,,HIP1,
,,,CNOT10,
,,,CTSO,
,,,APOBEC3C,
,,,UBAP2L,
,,,DZIP3,
,,,POLR2I,
,,,SART1,
,,,SCD5,
,,,ECI1,
,,,PDLIM2,
,,,OLFML2A,
,,,COLGALT1,
,,,MINK1,
,,,AZI2,
,,,LYVE1,
,,,GNL1,
,,,CTDSP1,
,,,LHFPL2,
,,,CPLX1,
,,,MEF2D,
,,,FHL3,
,,,PALMD,
,,,PHF20,
,,,C1orf123,
,,,SET,
,,,PSMA2,
,,,ICA1,
,,,ILVBL,
,,,ZNF511,
,,,XRN2,
,,,CTSB,
,,,UBTF,
,,,TSHZ1,
,,,TNFAIP2,
,,,AGTRAP,
,,,RIPOR1,
,,,RPRD1A,
,,,CYB5A,
,,,HIBADH,
,,,MIR4458HG,
,,,MAP1LC3B,
,,,FAM212A,
,,,ARF5,
,,,SYF2,
,,,NRGN,
,,,SIPA1,
,,,MPLKIP,
,,,HNRNPA1P48,
,,,DCTD,
,,,NEK1,
,,,CLK1,
,,,TAX1BP1,
,,,NDUFS5,
,,,ARHGDIB,
,,,SPNS2,
,,,GANAB,
,,,DDX54,
,,,INSIG1,
,,,C1orf122,
,,,CCDC174,
,,,TMEM38B,
,,,MAT2B,
,,,FMNL3,
,,,CNN2,
,,,TRMT10C,
,,,MFSD10,
,,,PELO,
,,,SLC25A4,
,,,MAOB,
,,,THBS3,
,,,USPL1,
,,,CHST14,
,,,EIF4G2,
,,,AEBP1,
,,,STAT6,
,,,BAX,
,,,HLX,
,,,MGLL,
,,,TOB1,
,,,CTNNAL1,
,,,RAPH1,
,,,ZKSCAN1,
,,,GABRA2,
,,,GUK1,
,,,PTPRK,
,,,SENP1,
,,,NT5C,
,,,LRRC47,
,,,MOSPD2,
,,,IQSEC1,
,,,MYL12B,
,,,THSD1,
,,,CMC2,
,,,HSP90AB1,
,,,METTL14,
,,,CYBA,
,,,DNM1L,
,,,FLT4,
,,,DYNC1H1,
,,,DLL1,
,,,DIAPH1,
,,,ACVRL1,
,,,SLC44A1,
,,,BMP4,
,,,45909,
,,,CPSF2,
,,,MFGE8,
,,,ELF2,
,,,TMEM205,
,,,MDFIC,
,,,RILPL2,
,,,DGAT1,
,,,LYRM2,
,,,GNG2,
,,,COG6,
,,,ADRM1,
,,,EFNA1,
,,,ROCK2,
,,,RBX1,
,,,ARF1,
,,,TSPYL1,
,,,C20orf27,
,,,TOMM7,
,,,NOL8,
,,,B3GNT2,
,,,SMARCB1,
,,,FILIP1,
,,,AK3,
,,,CWF19L2,
,,,DNM3OS,
,,,WIPF3,
,,,ZNF267,
,,,NRP1,
,,,PPHLN1,
,,,PDLIM4,
,,,PDE1A,
,,,TNS2,
,,,DEGS2,
,,,SEC24B,
,,,SOD1,
,,,MYO9A,
,,,DAP,
,,,LRRC8A,
,,,NUP50,
,,,HSDL2,
,,,MSX1,
,,,NRBF2,
,,,MTCH2,
,,,METAP1,
,,,IQGAP2,
,,,ZFAND5,
,,,THUMPD3,
,,,CCDC25,
,,,DNAJC9,
,,,PHF8,
,,,GIMAP6,
,,,LAP3,
,,,SPCS1,
,,,RPAIN,
,,,LHFPL6,
,,,CNP,
,,,CDK9,
,,,MT-TL1,
,,,HMGB1,
,,,HMGXB3,
,,,THAP11,
,,,AHCYL1,
,,,SNAPIN,
,,,NR3C1,
,,,ICAM1,
,,,LMBRD1,
,,,CCAR1,
,,,TSPAN2,
,,,MVB12A,
,,,LAMTOR4,
,,,NKAP,
