EC-OA,EC-AZFc,EC-INOA_B,EC-KS,EC_INOA_S
,COX20,DNAJC5B,PRM3,SLCO2A1
,TSGA10,CSMD2-AS1,SEPT7P9,FSCB
,FAM46C,FAM71E1,RHOB,C9orf43
,LINC01304,ITM2B,ARHGDIA,TXNDC8
,EHD1,PHKB,BX119904.2,CETN1
,ADIG,TIMD4,RAB1B,SLIT1-AS1
,COX8C,MDH2,AL596275.2,ACTL9
,LINC00293,TPM4,HNRNPA0,C1orf100
,CEP85L,STOML2,CCL23,ACRV1
,C5orf52,DUSP23,SRSF9,SELP
,FAM209B,EWSR1,DDX5,OLFM1
,AL596275.2,FAM92A,ACAP1,RGS2
,VIM,SELENOF,CDKN3,MEIOC
,ASRGL1,SPACA3,AFAP1L1,TSGA10
,MFF,FAM71F1,MT-TP,IFI6
,LINC00710,CCDC70,MT-TE,TEX48
,IL13RA1,GABRG3-AS1,ACTRT2,GALNTL5
,PCYT2,PPP1R2C,HSPA4L,LINC01539
,SPARCL1,IQCF1,ENAH,AC097375.3
,OSER1,TCP10L,AL355357.1,AC004797.1
,DRICH1,TSPAN4,TEX53,RFPL3S
,C2orf88,C11orf71,TMEM179B,UBQLNL
,CNTFR-AS1,TCN2,COL6A2,LINC00293
,CXCL16,CCT2,TEX51,AL672043.1
,SPZ1,BABAM2,AKAP14,LINC02314
,MT-TW,ZFYVE21,AC109635.4,C3orf22
,RNF32,SERPING1,CCDC91,FAM71C
,AC104971.2,CYSTM1,SUN2,CA4
,ODF3L2,LDHB,CTSZ,ENAH
,AC004797.1,HLA-E,LINC01676,CCDC91
,SIRPD,SH3GL3,SPATA3-AS1,AFAP1L1
,C10orf53,UBQLN3,CYSLTR1,CXCL16
,AC097375.3,CMAHP,LINC01350,VAMP2
,ETS2,ACAP1,PPDPF,TIMP3
,DNAJA4,DGCR6L,GADD45G,NRIP3
,LINC01350,MFAP3L,PLCZ1,MORN5
,FSCB,FAM229A,ADAD1,SPATA17
,AC008267.5,HSPA8,UBC,KLHL10
,ZDHHC19,COPS5,ATF3,LINC01304
,ENG,HDAC1,CSRP1,MIR7515HG
,YPEL1,SARAF,SPATA18,YBX2
,TLE4,LINC00608,IL1R1,45726
,FAM220A,CT83,RALY,45912
,COX6C,FAM187B,KLF2,C9orf153
,PPP1R2C,TEX44,CDK4,CCDC179
,CEP170,RPN1,C10orf53,SPZ1
,MT-CO2,PPP1R14A,PPP1R15A,TEX36-AS1
,LRTOMT,MCRIP1,SELP,CST3
,STIP1,NDUFV3,LINC02314,SSX2IP
,CPXM2,CEP112,TMCO2,RGS22
,VRK3,TXNDC12,BRDT,PPM1G
,VWA3B,CST3,XAF1,RAMP2
,NRDC,HERPUD1,HOOK1,SPATA7
