Immue-OA,Immue-AZFc,Immue-INOA_B,Immue-KS,Immue-INOA_S
,EMILIN2,ZFP36,LINC00623,ADGRE5
,ZNF117,GPNMB,DPYSL2,P2RY14
,UBE2L3,KIAA0100,AFF1,PPT1
,LINC01664,PSMB5,TLR5,CARD6
,YES1,RTF2,FAM219B,SLCO2B1
,AFF3,MOSPD2,TNKS2,CPPED1
,AC110769.2,SERINC3,SPATA33,NRDC
,CCDC54,UBC,EIF5B,HNRNPF
,LINC00919,CTNNB1,TET2,TMEM255B
,TNFSF13,INTS10,FAM107B,C6orf99
,SLC7A5,ERICH2,DNASE1L1,BEX1
,ZYX,SNORD3B-1,UBXN4,PPP1R36
,TRIB2,TSSK6,SUPT16H,DNAH6
,ITGB8,SPANXB1,ASCC1,MUC19
,STAC3,CCDC168,NRDC,MAATS1
,NFKB1,UBE2J2,ANKRD17,ROCK1P1
,CYB5A,QARS,MT-RNR2,WFDC3
,AAMDC,CSTA,SERPINB1,PIPSL
,CFH,CCT8,IRF2,AC022968.1
,CCDC88A,TNKS2,SCN1B,MROH7
,TSC22D1,NR4A1,COL6A1,MMP19
,SUSD3,HK1,UGP2,PDK4
,SRFBP1,HMOX2,CLTA,AL118508.1
,NDUFV3,BTG1,DPT,NACA2
,C19orf70,BMS1,AC027644.3,SOX30
,PHF20,PKIB,PET100,BRWD1-AS2
,SDF2L1,VCAN,GSTM1,SMC1B
,TEX10,PCBD1,RDX,PTPN18
,F3,COX4I1,NAV1,KLHDC9
,RANGRF,ACAP1,MYO1E,PLP2
,SRP54,SLC39A8,CCDC37-AS1,CASP3
,EXOSC5,MTCH1,LINC01350,NR4A1
,SSR2,RTL8C,HEMGN,SLC36A1
,SWI5,RHEB,DDX4,SLC39A8
,TRPS1,UHMK1,TLR4,RBBP8
,INO80E,PRDX6,STAG2,PRDM1
,BABAM2,CYC1,DEXI,CYB5R2
,CD22,CTDNEP1,MLKL,KIAA1210
,SLC25A5,ROPN1L,AC020916.1,ARHGAP24
,THOC2,TMEM9B,TESK1,CCT6A
,MPEG1,ADA2,SIRPA,CIITA
,BTF3,COPZ1,TM9SF2,ST6GAL1
,OST4,SSR4,TSR3,RAP1A
,ANP32A,HES1,CCR2,COMMD6
,SERPINE2,TRAPPC3,ANGPTL1,DAZAP2
,LUM,GOLGA2,CASP3,SNX10
,SPPL2C,YIPF3,FAM89B,TMSB4XP4
,TSPAN1,NIPSNAP2,VPS36,SERPINB1
,ZKSCAN1,VAV1,AC007952.4,RAB7A
,PTOV1,NUP93,SP1,H2AFY
,KLHDC2,DR1,MCTP1,ANKH
,NCOA3,U2SURP,ZBTB38,SLC25A37
,ACTRT2,USP47,OSR2,HIST1H1B
,SAMSN1,SINHCAF,CLIC1,MS4A14
,TXNRD1,ELP5,MORC3,P2RY1
,AC008972.2,NDUFA8,TMBIM4,SERINC2
,CDK2AP1,AP3S1,EIF4A2,KCTD12
,SINHCAF,ALKBH7,FSCB,CCDC88A
,PDGFRA,PBDC1,BX119904.2,SOX9
,AC100849.2,CMKLR1,SELENOK,GNG7
,PKD2L1,ATP6V1A,CKAP5,EIF5A
,AL357078.3,RNF38,KIF2C,KPNA2
,GSTT4,SRSF4,LRPPRC,CAPNS1
,PLSCR2,PIGC,CTSA,AIG1
,AL078623.1,ARSA,RPN2,CCDC91
,LINC02085,ZNF22,SPG21,CUL2
,AC104964.1,TSPAN4,CPNE3,PDXK
,AL121900.1,SUCLA2,PARP1,RTN4
,AC018682.2,BCL6,GPN3,VAV3
,AL355075.2,TMIGD3,BST2,CCDC169
,AC068987.3,NSMAF,GATA3,SNX2
,HCG20,HDAC3,WDR6,BIRC3
,LINC01198,FUNDC2,MTRNR2L1,PDIA4
,LINC00906,KMT2E-AS1,NOTCH3,LBX2-AS1
,CXCL5,STT3B,JAK2,SLAMF7
,AC021915.1,SNHG6,MT-ATP8,MT-TL1
,LINC02423,NRAS,GDI2,IER2
,AC009623.1,OSTM1,SLC31A1,ADGRG6
,AP005131.1,PTPN18,PARP10,CXCL12
,LINC02081,HPS1,DRAP1,SPG21
,AFF1,WBP2,TP53I3,SORT1
,PGRMC1,FUOM,TMCO2,TOMM22
,HUS1,SF3B6,VNN1,RAN
,APP,BNIP2,CSE1L,TAGAP
,MMP15,COPS6,GOLGA4,DNAH14
,ZBTB10,KEAP1,HTRA2,THBS3
,TTC27,KLHDC3,ITGAL,MORF4L1
,PRAM1,NEU1,FRMD4B,SPATA24
,EIF3A,GFM1,HNRNPR,SP100
,TPP2,ZNF581,DYNLT1,STIP1
,EIF3K,TAP2,TRPS1,BHLHE41
,MAGEB2,ABCC1,BOD1L2,AC018797.2
,AC005912.1,PIAS1,PCNX2,GSKIP
,ZNF710,FLOT1,FKBP1A,CITED1
,FCGR2B,FCER1A,USP14,RIPK2
,OSTF1,CUL5,AKAP3,CCT5
,CHI3L2,BCL2A1,FAM212A,SULT1B1
,ACSM5,NMD3,GDPD1,PPARG
,OAS2,RBMX,PLEKHG5,FERMT3
,ARMC12,ALDH9A1,C16orf82,COX6B1
,TMSB4X,EMP1,RUNX3,TDRD1
,PRSS23,WDR61,STAB1,PPP1R32
,TBX18-AS1,HNRNPH3,IQCF3,TLR10
,ENPP2,TMEM14B,NUP155,LRRK2
,TP53I3,CNRIP1,ARHGAP45,FAM213A
,ISLR,KIAA2013,CYLC2,EIF2S2
,SHC4,QPCT,BAG4,HES1
,SMARCD2,TMCO5A,NUDT22,HGF
,COX7A1,CD300C,CYFIP2,MOV10L1
,FAM213A,ACTL7A,TMEM243,AC092849.1
,GNAI2,LBX2-AS1,FXR1,FTCD
,ADRM1,RNASE3,C12orf50,GADD45B
,RNF216,SPATA19,FCMR,MANF
,PMS1,BPIFA3,PGM2,CCDC38
,GPX1P1,TMCO2,SKAP1,UGGT1
,RHOG,RF00003-11,LTN1,HK1
,CABYR,RTL8A,SF3A2,RGMB-AS1
,C15orf61,MPI,SNCG,RAD51AP2
,LINC00293,NUCB1,EEF2,AC006012.1
,PTPN11,DYNC1LI2,CD247,AL662789.1
,CFAP221,SELENOP,CLEC12A,PIWIL2
,RNU5F-1,NUP133,ESF1,MARCKSL1
,CLIC4,BROX,STK24,NISCH
,NUP214,NUPL2,KYNU,DOK2
,FCHSD2,TMEM109,USP22,MT-TY
,DOPEY2,DCTD,SUMF2,ZFP36L1
,AP002954.1,CEP170,ATP1B3,MZB1
,WDR7,REEP1,CCR1,CTSA
,SLC43A3,ZMAT2,KIDINS220,ARL6IP5
,LRP8,C1orf131,TOB1,FAM104A
,NDUFC1,FAM50A,PLIN2,ZBTB10
,PMFBP1,P2RX4,HIST1H2BA,PDCD10
,MED18,PLA2G15,CTSF,BEX3
,GPR34,MIF4GD,SSR3,TEX22
,GSTA4,TIMM50,BIN1,GGTA1P
,DNTTIP2,TUBA1A,EXOC5,CFAP58
,WDR6,TINF2,RNF141,TMSB15A
,NUCKS1,SLC35B1,TC2N,NCEH1
,RNGTT,RAD17,GAPVD1,AL355490.1
,CYFIP1,TEX264,MBNL1,HIST1H4B
,RAB12,C21orf58,PLXNC1,MYLK
,PLD4,RF00003-2,GSTM4,PDE1A
,TUBA3C,RCAN1,HERPUD1,C2
,MAN2C1,SRFBP1,TNS3,PPM1K
,VTRNA1-1,SH2D4A,BEST1,NPTN
,COPZ1,GTF3C6,MT-ND4L,MSI2
,ATP8B2,RAB29,BTG3,RAC1P2
,SERINC2,ETFA,AC044849.1,CIRBP
,MFAP3,CCDC47,VPS4A,ATP5PB
,EMC7,MAP4,KLRD1,CCDC7
,SESN3,B2M,SAMD3,NRAV
,UBE2A,ECHDC1,FAR2,CD22
,ABRACL,DARS,TRGC2,GBP4
,MITF,EFCAB14,TM4SF1,MGAT1
,LAIR1,SRPK2,FYN,PRPF40A
,JCAD,CSF2RA,RBCK1,C5AR1
,WT1,COX14,NRP1,TCF12
,PPIAP22,TOMM70,P2RY1,TUBA1A
,TPM1,EPS8,ACTN4,FAM92A
,POLR2I,PAK2,C10orf82,INSIG1
,LTBP4,COMMD5,FAM71F1,FOXN2
,YBEY,SEC23B,CDKN2AIP,AP1S2
,HYDIN,WDR36,CT83,CEBPB
,XRCC1,NLN,TMEM107,FRAT1
,ACKR1,ITGA4,SERBP1,TNS1
,BRWD1-AS2,ITGAM,UBQLN3,OTUD1
,SVIL,FIS1,SORBS2,ATP5F1E
,TMEM266,RAB10,TEX38,PSMB3
,GABBR2,VPS35L,CHP1,TIPARP
,GRID1-AS1,SMIM14,PSMD12,ALKBH7
,ODF3L2,RTN4,PNISR,GRB2
,HTRA2,SIRT2,RNU5A-1,NR1D2
,CCDC162P,CSE1L,CAVIN1,REEP1
,HIST1H3I,DBNL,SLC7A8,OLFML3
,AC117422.1,SUGT1,RNU4-2,TMBIM6
,MGAM,MORN2,DDX18,NRP1
,LINC02024,IRF5,GPBP1L1,MMP14
,COTL1,DYNLRB2,IPO5,POGLUT1
,ADTRP,MTATP6P1,CR381670.1,NLN
,C17orf98,FURIN,SPINK2,ATP5PO
,PODN,VDAC3,SEC14L1,RBMS1
,TMED1,PTPRE,DNAJA1,TLR2
,SMOC1,PAXBP1,UBR4,TOP1MT
,MYT1L,SPCS2,DSC2,PPM1G
,AC123912.2,NCEH1,TXNRD1,IQGAP2
,COPE,SCRN3,FHL2,SLC17A5
,GPX5,CEP170P1,EHD2,PER3
,SLC44A4,NINJ2,EXOC6,ZCCHC6
,LINC01233,ARHGAP28,SCP2D1,IGHGP
,RORA,PPP1R2C,LINC00943,TBL1X
,SYNPO2,FRAT1,AL133371.1,FPR1
,GABBR1,C20orf141,PDCL2,UQCC2
,SPTBN1,AC239803.2,AL390036.1,PLD3
,AKR1B1,HNRNPH2,SIRPD,GHITM
,HDHD2,ZCCHC2,FAM49B,APOA1
,AKT1,APPL2,UBQLN2,AL591846.1
,CAV1,SURF4,GALNT7,CD79A
,SLC22A23,TBC1D23,ARPC3,OLR1
,CCR1,PQLC3,ZNF124,ATP6V1D
,TNFRSF21,ORMDL2,MARCKSL1,JCHAIN
,NXF3,PIK3IP1,FAM126A,TRA2B
,HTATIP2,ACSL3,MT1E,45907
,CYP20A1,PLGRKT,RASGRP1,SLC38A7
,MS4A7,XRCC6,SH2D1A,SLC31A1
,AC087273.2,MOB1A,THEMIS,IFT57
,OAT,C1D,EBF1,HIST1H4J
,NPC2,AP1S1,ACTA2-AS1,CDH5
,TPRG1-AS1,TRIAP1,HIGD2A,COX4I1
,LIMD2,CASP1,AP3S1,SWI5
,DNAJB5,SNRNP40,POLR2J3,TMEM52B
,MAP9,SGK3,BIRC3,IGFBP7
,AC093484.3,SNHG1,RING1,JAK1
,ASTN2,NBR1,IMMT,KCNAB1
,ATG101,PTRHD1,FNDC3B,TPBG
,RNF150,FAM118B,GCA,HYAL3
,LSM12,HAT1,AGFG1,WDR63
,SOAT1,NUDT5,FAM71E1,OLAH
,FAM13B,TCEAL4,NTMT1,CFAP43
,OTUD1,HLA-DRB5,PDCD10,AL449106.1
,TRAP1,COX15,PTPRJ,AGAP14P
,SCN9A,CCDC18-AS1,RBBP8,KLK13
,ALKBH5,PER1,IL18,F2RL2
,ST5,PYGL,ATP5MG,AL590096.1
,CCDC7,NHLRC3,FIS1,AC015818.2
,ZSWIM6,SIGLEC10,FAM98A,ZMYND10
,MBD3,CCR2,FMNL1,ATRNL1
,RBM8A,WDFY4,SREBF2,45903
,PSMD1,PPP1R11,THBS1,PLAC9
,DST,VIM,THOC2,PMAIP1
,AL442128.2,FAM120B,REST,GADD45G
,RRP9,MAT2B,HSF1,SMC1A
,AKAP3,ZFP91,TALDO1,ATP6AP2
,HAUS1,AZIN1,CCNL1,PSMD1
,TUBA1A,TOR1AIP1,TM9SF3,ARRB2
,C16orf82,CBX6,ADIG,FES
,TMCO5A,AAMP,TANK,CHURC1
,AC097534.2,STX8,DCAF4L1,VAMP2
,WWC3,EIF4G1,AD000864.1,STK38
,MIF,CLPX,MED13,P2RX7
,GARS,TNFSF12,WNK1,POLR1B
,ATIC,NUP98,MAGEF1,REEP5
,FBLN2,SND1,CFD,HEXB
,MCF2,SNX1,ARRDC3,PDGFC
,TOP1MT,TMX3,CIB1,TSC22D3
,SCD,RNF146,CXCL10,TMEM97
,GAGE2A,EMG1,ZFP36L1,ZNF711
,YIPF2,HADH,HPS5,GBP5
,MBOAT7,HYOU1,SUSD3,BCLAF1
,TPGS2,CD59,JMJD8,MRO
,C16orf58,CTTNBP2NL,PRKCSH,ZKSCAN1
,ECHDC1,PHB2,CKB,KLF10
,WRB,RBM39,LMOD1,PICSAR
,ELMO1,AMZ2P1,ISYNA1,AC093151.3
,SMIM1,IMP3,OAS2,AL122008.4
,MTND3P10,ADGRG6,PCBP2,AL451007.2
,SLC31A1,TMEM120A,RALA,AP000350.6
,LMNA,LCP1,TERF2IP,FAM238A
,DPYD,TBPL1,WDR11,TOX4P1
,LINC02035,TPD52L2,CNTRL,AL591926.2
,SCP2D1,ZNHIT1,ENTPD6,FAM71E2
,PSMD11,RNF216,ERAP2,IL13
,HLTF,C12orf10,STIP1,IL27
,EHD4,TSTA3,CST3,CFTR
,NARS,SPRYD7,HMOX1,AC008555.1
,FMO4,PIGP,PSME4,AL132822.1
,C7orf31,HTRA1,SCIN,AL133230.1
,BROX,P2RY1,EPSTI1,AL133284.1
,CTSF,SERTAD3,HSPA2,LINC02327
,CHST15,TSPAN31,EXOC1,AC010235.1
,CORO2A,TMEM138,COMMD6,AC099566.1
,TXN2,ABCD4,DOCK2,OR8B2
,PPP1R12A,FAM92A,BAD,OR5E1P
,C7orf49,ATM,UQCC3,ASNSP1
,CIAPIN1,TMEM106A,PPP1R15B,SEMA5A-AS1
,TIMP1,TRIM8,RNVU1-4,AC015849.1
,CTTN,LGALS2,PEBP1P3,AC015468.1
,NUBP1,NOP58,TANGO2,SPOCD1
,SNHG25,PEF1,IL2RB,CA9
,FHL2,PAICS,ZFPL1,SLC25A41
,LGALS2,HSD17B11,ANP32B,AL591848.3
,LMOD1,TXN,LARP4B,ZNF32-AS3
,GNL3L,CHCHD1,PDE4B,LINC02240
,FXR1,IDH1,SPP1,LINC02165
,CCNG2,PCNA,CNPY2,LINC02188
,CMTR1,FAM198B,FMN1,LINC00229
,OGN,CS,CDKN2D,PRSS55
,SREBF1,GID8,RBP1,HCN4
,NAPRT,CAT,TFEC,AL158070.1
,ARL4C,BFAR,AC109326.1,MAPT-AS1
,AC106788.1,MPDU1,TMEM33,MAGEA3
,HIF1A-AS2,ALG8,MEPCE,AC135977.1
,SNX18,DEDD2,SLC26A2,AC023449.2
,LST1,STIM1,ZNF812P,ADAM2
,SEPT7P9,STRADB,CLEC4D,LINC01655
,AOAH,VWA3B,KIF2B,AC004923.4
,MEA1,AC097636.1,MAFF,CATSPER4
,IFI6,GABRG3-AS1,PHF1,ADAM18
,POLR1D,SPANXD,EFCAB14,DEFB121
,SETX,SPACA7,TEX36-AS1,MOBP
,CETN3,DNAJB8,TSC22D3,AC119428.1
,TRPC5OS,RDH14,UBL4B,POM121B
,SLC16A1,FAM229A,LILRA6,AC018943.1
,PSMB3,RNF175,AKNA,TP53TG5
,HINT1,TMEM31,SHOC2,POC1B-GALNT4
,CD9,FAM71F1,LENG8,HSFX3
,ENTPD6,GLS,FAM173A,AL162385.1
,CTSL,CARD6,RB1,LINC01533
,KLF11,THRAP3,PRR14L,ADAM7
,EIF5B,BIN2,ARHGAP31,LINC00427
,SLC39A1,C19orf24,PTEN,TNP2
,KARS,AUP1,HCK,AL137785.1
,HLA-DRA,AC115223.1,NQO2,HNRNPCP1
,CCSER2,PDIA6,AC138207.5,APOBEC4
,LARS,HLA-DOA,TEX48,BX255923.2
,AC007032.1,ARL11,CCDC27,OPRM1
,IRS2,MARVELD1,LRRFIP1,LINC02471
,RGL1,SMG7,TP53I13,LINC02491
,ATG4C,CCND2,DNAJB6,AC010280.1
,ATP5PD,SNX4,ALOX5,LINC00642
,NCKAP1,SUMF1,COG2,AL096828.2
,UGGT1,IFI44L,TAF10,C8orf74
,DICER1,YIF1B,PLPP1,C5orf47
,MPP1,ASCC1,RASL11A,MAGEB10
,PCBP2,PLEKHJ1,ACADM,CFAP44-AS1
,SNHG16,DAP,SLC25A24,LINC02372
,CARM1,THAP5,ROBO3,AC245088.1
,HSD17B12,ARRDC1,SNAI1,LINC02304
,SCN1B,DDX56,TNFAIP2,AC005006.1
,LINC01350,DEDD,SQOR,Z98259.3
,SDC4,DCAF13,MAP4,CCDC26
,U2AF2,NUS1,PYCR2,LINC01729
,TRIB1,GPR82,YWHAG,SYT3
,RFFL,SIGLEC1,ZNF276,CCDC158
,DDI1,SLC15A4,PCM1,AL445488.1
,AMIGO2,ACTR1B,MAPK8IP3,ZNF479
,TTC8,CHTF8,BCLAF1,LEF1-AS1
,ARIH2,SNX14,POGLUT1,LRRC2
,EIF4A1,NFKB1,GNB4,DRC1
,TSC22D3,DYM,CHST12,AC187653.1
,CNPY2,WDR7,NDUFV3,ZPBP2
,PRAF2,SLC25A45,TNFSF13,C17orf112
,LRRN3,H3F3AP4,DECR1,C16orf92
,TBX22,ESF1,FBXO44,AC209005.1
,GPC1,PRDX5,SEC24D,LRRC3B
,HOOK1,DDX21,ADHFE1,VCX3B
,GABRB2,FUBP1,C19orf66,AP003499.3
,TAF2,APEX1,MAGED2,AP003721.3
,P2RY1,YPEL2,H3F3A,AP003733.3
,ABCF1,PSTPIP1,GEM,ASXL3
,TERF2IP,RIPK1,ASMTL,ASB5
,ICAM1,TRPC4AP,ABRACL,OLIG1
,GALE,TM7SF3,ZC3H15,AP005131.5
,LSM1,TADA3,RASSF5,AC090001.1
,TMEM176B,UBE2N,TAPBP,AL139350.1
,SAT1,FCHO2,SPACA9,AC087565.1
,NCEH1,NUP155,ESAM,TMEM262
,FNDC3A,IGFBP4,PEAK1,SNTG1
,DPP7,UTP3,ARF1,SNAP91
,NDUFB1,GPI,SLC25A1,AC022098.2
,TMEM65,PPP1CC,SLC15A3,SLPI
,SMG8,POLR2K,COA6,DSC3
,ZNF506,MAPK3,COPB2,AL663074.1
,C2orf16,TES,CCT3,EGFLAM-AS2
,LDHA,RMI1,CCZ1,SLC14A2-AS1
,LINC00324,IGBP1,ASAP1,FAM181A-AS1
,UTY,TMEM87A,SFPQ,TTLL2
,NUDT22,ASCC2,LIMS1,CNBD1
,ABHD1,DCTN2,C20orf141,AL109924.1
,AC008038.1,LIMD2,BSG,IQCF5-AS1
,VPS26A,PARK7,SLC30A7,PHACTR2-AS1
,ACAP1,UFL1,NUDT2,SOHLH1
,SRD5A3-AS1,HAUS1,CCDC115,AL080313.2
,KCNH2,ANKH,45907,TUSC7
,PTPRG,ATP5MG,FN3KRP,AC093698.2
,FAM20A,VMA21,PRPF31,PCNAP1
,S100A16,USP33,SBDS,AC090403.1
,PDIA3,MCRIP1,P4HA1,AC009158.1
,SLC15A3,PGD,ALOX15B,TSSK1B
,DPT,ISG15,NUDT16,AC124301.2
,PLPP1,CNPPD1,PMM1,MGAT4D
,NLN,DNAJB12,RCAN2,LINC01791
,TSSK6,HVCN1,OLFML3,LINC01799
,SNN,HSBP1,CUTA,LDHAL6B
,SGTB,RF00012-7,VPS41,AL022323.4
,CLTA,E2F8,AC239868.1,NPIPB6
,AC080013.5,CLEC3B,ASB9,AC027701.1
,SULT1A1,TRAPPC6B,C16orf54,AL442224.1
,FES,SMCO4,PRMT5,AP005131.4
,BMF,CACUL1,TIGIT,AC012594.1
,MYDGF,SNAPC3,ZNF593,LINC01709
,ECM2,CAPZA2,HSPG2,AC010177.1
,TCEAL2,PEX11B,MT1A,LIN28B
,NRAS,FN1,LINC00996,LINC00113
,SMPD4,PTMAP2,ATG4C,LINC00347
,CUL3,CHRAC1,HRH2,NMU
,FUBP1,PRKAR2A,PTGER2,VCX
,USP34,PRRC1,ANKRD40,AC091096.2
,COX6C,PSMD14,FAM53B,LCN2
,ITPR3,VIPAS39,SHC1,AL445209.1
,RFX5,TSEN15,DSE,AP005482.1
,SFRP1,CCND3,HSPA4L,AP006284.1
,ATXN1L,COX11,TMCO5A,LINC01859
,FOSB,SMIM3,ARHGAP28,LINC02053
,SLC7A2,MTR,ODC1,LINC02059
,TSHZ3,RARS,CADM1,DNAH9
,FAM53B,WDR1,LTA4H,ANKRD26P3
,ARHGAP31,ARPIN,RIPK2,EYA1
,CFL2,ENG,TMEM109,AL583835.2
,MAGED2,TRIM69,CDKN3,AL589987.2
,TCEAL6,CLEC5A,PHACTR1,LINC01913
,HIST1H2AE,IPO7,SLC25A37,C19orf71
,CDCP1,OSER1,GRK2,AC015922.1
,CDIPT-AS1,ZYG11B,NR1H2,DNAH3
,PXK,C16orf82,SRPK2,FAM170B
,AP1S2,SPATA18,STK3,LINC01853
,RSRC2,GPBAR1,PAF1,CASC17
,CD48,TAMM41,MORN2,SH2D6
,GCLC,ZNF571-AS1,EEF1A1,ACR
,DDIT3,PEX16,SLC25A6,AC004847.1
,IGFBP4,SMKR1,CIITA,LINC01884
,REST,ZBED5-AS1,PPIP5K2,AC096564.1
,HOPX,C12orf50,NUFIP2,GAGE13
,CYB5R3,ISOC1,CERK,MDGA2
,NT5C,B3GAT3,SVIP,SLC36A3
,PARVA,LCA5L,HLA-DPB1,SLC25A52
,ERBB4,PRMT3,TSSC4,AC007557.3
,EIF3L,RF00004-10,ZNF438,AC073592.1
,AAR2,AKAP3,MTSS1,RBMXL2
,ABLIM1,HOOK1,PER3,TEX49
,AP2A2,SPANXN3,PARP4,TEX50
,NAV2,CYLC2,SUCLA2,AC009093.5
,BHLHE40,ANKMY1,STAT4,CCDC63
,HSD17B4,AC109630.1,GTF3C6,LOXHD1
,AMFR,UBL4B,RHOT2,LINC02127
,DAB2,LINC02381,SDAD1,LINC02150
,MGAT4B,RNF151,EEA1,MAST1
,MORC3,IQCF3,CLCN3,AC011389.1
,CAPZA2,TBX18-AS1,CNN1,TDRG1
,RENBP,C20orf194,S100A13,AL356124.1
,PRKAR1A,PRPF38A,GNLY,GK2
,GSKIP,EPRS,F10,RFX4
,SLC4A2,SNHG8,CHMP6,AL355581.1
,CXXC5,SERPINF1,SLC25A29,KCNIP2-AS1
,HNRNPC,NSFL1C,SMTN,PAUPAR
,PRDM2,GTSF1,SOX15,LINC01333
,TSPYL1,DNAJB6,NDUFB2,AC005532.1
,CPEB1,RAB34,KCNAB1,MYH16
,NDN,TRIM27,LRP10,LINC01238-2
,WSB1,ZNHIT3,DNAJC10,TH2LCRR
,SPATA8,,PFDN5,AC074389.2
,HDDC3,,ZNF468,AC078878.2
,MAP1LC3B,,SMC2,TEX11
,SPACA7,,FRZB,TCTE1
,TSPYL2,,VNN2,DNTT
,SSPN,,SLAMF8,AL592156.1
,SETD7,,SULT1B1,ERICH6
,AC020656.1,,TINAGL1,NT5C1B
,RNU6-6P,,RHOB,NRG1-IT1
,AL136987.1,,CCDC141,LARGE-AS1
,SUMF2,,OSTF1,LINC01413
,HLA-DQB2,,MTA1,LINC01419
,AL035078.1,,AKT1,RFTN1P1
,CLK1,,EHD1,RN7SL559P
,PEA15,,IL10RB-AS1,AC011196.1
,EMC10,,PPP1CA,AP001782.1
,PLSCR4,,PINK1,C11orf97
,BEX4,,KTN1,SMIM9
,AL020997.2,,NDUFC2,AC114752.1
,AL390726.6,,WWC3,HEATR9
,AL390730.2,,FAM187B,C15orf59-AS1
,LINC01351,,RASAL3,C18orf63
,C22orf42,,LAG3,AL139237.1
,LINC01291,,MAP3K14-AS1,PRC1-AS1
,ELOVL7,,SNHG12,AC011124.1
,KLK5,,MXD4,AC009411.1
,KLK13,,MBNL3,HIST3H3
,AC243772.3,,SLC17A5,AC090971.2
,F2RL2,,ROPN1B,AC138331.1
,LINC02045,,TMX1,LINC02505
,LINC02180,,PTAR1,LINC02508
,AP001636.2,,CCS,LINC02443
,AC022272.1,,VPS50,SLC7A11-AS1
,ST7-AS2,,TXNDC17,LINC02569
,MSTO2P,,SYTL2,LINGO1-AS2
,AL136982.1,,GABARAPL2,AC009299.3
,C16orf78,,SETD3,HSPE1P4
,AC233279.1,,TAX1BP1,PNMA5
,RF00019-332,,COX5A,AC092608.2
,AGAP14P,,DAB2,AC092634.5
,SNRPD2P2,,PLCB2,LINC02064
,ATP5PDP4,,WDR7,C9orf135
,AC092723.4,,UPF2,LINC02113
,MCM8-AS1,,TTYH2,BX546450.1
,SPATA31C2,,TGFBR3,MTCO1P25
,IL10,,PRAF2,AC073335.1
,CA10,,TPGS1,LNX1-AS1
,AC006482.1,,CCDC146,MUC1
,IL19,,NKRF,TEX52
,ASB14,,CSGALNACT1,AC011095.1
,AC015849.5,,ATP5F1A,AC007557.4
,AC110994.2,,KRT10,AC007610.4
,OR7E156P,,FAM117A,AL691420.1
,MIR4307HG,,AC010642.2,ZNF649-AS1
,ABHD12B,,SLIT3,C2orf78
,ZNF503-AS1,,GCHFR,C3orf20
,S1PR4,,LINC01736,C1orf100
,AC098680.1,,PLCZ1,AC113355.1
,AC025524.1,,COX7B2,AC079779.3
,LINC01890,,FUNDC2P2,AC016866.2
,FTLP2,,SPPL2C,AC016987.2
,FOSL1,,POLQ,AC022748.2
,FAM230C,,ZC3H12D,LINC00606
,LINGO3,,PRSS37,LINC00616
,LINC02431,,AC097375.2,CCT8L2
,ARL2BPP3,,PGLS,H1FNT
,AC092810.3,,RBBP6,AL160290.2
,NXPE1,,MEF2A,ISLR2
,AL356020.1,,RNF151,AL353572.3
,AL590139.1,,MTCH2,GPR182
,AC007493.1,,HSP90AA1,GABRG3
,FO538757.1,,PIM2,CXorf66
,AC006277.1,,RFLNB,AC011773.2
,PPP2R2B,,E2F3,AL133351.2
,MUC16,,YIPF2,AL133485.1
,AL139125.1,,SGCE,AL031708.1
,AC018529.3,,PNP,LINC00700
,AC018554.1,,NDUFS1,NCR3
,AL096865.1,,MAN2C1,AC107398.4
,AC132812.1,,POLR2I,C20orf85
,GAGE12H,,TIMM23,AC009107.1
,AC016831.5,,CAP1,DAB1-AS1
,LYST,,NCKAP1L,AL360227.1
,LINC01277,,LCA5L,AL360268.2
,AL513327.2,,ABR,DCDC1
,LINC01304,,MAP1B,LINC01718
,AC007384.1,,AAMDC,AL391987.3
,AL359643.3,,LINC02397,AC106771.1
,EYS,,CCM2,LINC00535
,AC147067.1,,PDLIM3,CTCFL
,NAA20,,IL7R,CDRT8
,MORN2,,CMKLR1,AC007179.2
,ZSWIM8,,KLHL8,OR2H1
,TMOD2,,CAVIN3,AP000769.3
,MT1G,,HNRNPA1P48,AC039056.2
,NOP53,,CXCL12,AC040918.1
,TMEM106A,,AKR7A2,AL365184.1
,FUT10,,CUX1,GPR12
,NBL1,,SMKR1,GOLGA8Q
,LY6E,,PPP1CB,AC074351.1
,C3orf70,,NBN,AC099811.1
,ESRRA,,TSR2,HSFY1P1
,ODC1,,PSMB9,LINC01635
,BRF2,,LY9,AC005324.2
,DCAF4L1,,PSMB8-AS1,LINC01592
,CEP112,,SPACA7,RELL2
,GPN3,,NDUFAB1,AC073539.1
,ITSN1,,ATXN7L1,GOLGA6L7
,ACOT2,,COPA,REG4
,FADD,,AC026979.2,AC110285.6
,SLC1A6,,PGP,SLC22A14
,EBF1,,ANKRD7,LINC01551
,LINC02219,,RNF44,PAGE1
,IGFBP5,,ZMYM1,AL049541.1
,CCDC179,,IL6ST,TTC39C-AS1
,NPM1P39,,CCDC136,PEX5L-AS2
,UCHL3,,SH2B1,KCNV2
,BAG4,,NAA15,AP001001.2
,FDXR,,NDUFB5,AC011228.1
,ZNF384,,AC099560.2,CELF2-AS2
,UBE2E3,,ARIH2,KCNMA1-AS2
,SDAD1,,GSTM3,KCNQ2
,RAP1A,,HIVEP2,AC023886.1
,TRIM8,,OPA1,FNDC8
