Myoid-OA,Myoid-AZFc,Myoid-INOA_B,Myoid-KS,Myoid-INOA_S
TPM1,PLN,TSPAN6,EFCAB6,LINC00944
PSMA2,SERPINA5,VWA3B,PRDX1,LINC01304
ANKMY1,CST13P,ATP1B3,PDCL2,SLIT1-AS1
LIX1L,RANGRF,CYLC1,FLNA,SAMD4A
NPNT,GTSF1,FAM120B,PLCZ1,AC004797.1
ATP5MF,AC097375.2,CEP170,SPANXN4,45912
,BZW1,LITAF,MALAT1,45726
,CITED1,SPACA7,VRK3,PSORS1C1
,CCDC7,TECR,TMCO2,YBX2
,MT-CO2,LINC00943,LINC02109,LINC02109
,SFRP4,FAM92A,LINC01539,C7orf31
,SORBS2,GNG2,DBIL5P,SPATA12
,PEG3,FHL5,MT-ND2,SPEM1
,PDIA6,HYPM,ACTL9,LINC01676
,LINC01227,IRGC,SPANXN3,SPANXN3
,HIP1,IQCF2,SLIT1-AS1,AC104971.2
,TXNDC2,SCCPDH,SPEM1,IGSF11-AS1
,MORN2,C7orf31,AP001782.1,AL513327.2
,AL359853.3,EWSR1,RNF138,AL672043.1
,LPP,TUBG1,DNAJA4,LINC00710
,LINC02109,INPP1,PTMS,LINC01760
,PRRC2B,ANKMY1,PPP4R1L,SPATA9
,C7orf31,LINC01350,GRID2,NRAV
,SPARCL1,LINC00854,MYL9,CCDC7
,CREM,SCP2D1,LRRD1,C2orf88
,SFRP1,RAB11FIP4,SPATA17,AC092666.1
,TSHZ2,ARPC1A,RIMS1,AC104964.1
,CABYR,POLR1D,LINC01664,ZBBX
,PRR30,WASHC3,PPIB,FAM71B
,VWA3B,HOOK1,CCDC7,C6orf99
,CD81,BAG5,FANCD2OS,OTUB2
,PPP2CB,LRTOMT,IZUMO2,SIRPD
,LRTOMT,BANF2,RHOB,MIR7515HG
,TEX53,SPEM2,TXNDC2,AC008114.1
,LINC02314,MS4A5,TPT1,EFCAB6
,LINC02189,RNF151,PRSS37,ACAP1
,HLA-B,ISG20L2,CD151,COX7B2
,AKAP1,MAP3K14-AS1,AC140479.4,CNTFR-AS1
,SCP2D1,SPATA4,LINC00710,CSNKA2IP
,LINC00919,STMN1,LINC00293,TEX48
,DUSP1,TGFB1I1,TLE4,SPACA4
,TMEM31,EIF5A,SLIT2-IT1,FAM209B
,NPTX2,HK1,TTC39A,LOXHD1
,SDHD,AC109635.4,TTC29,FAM205C
,TMEM179B,ARMC12,ARL4A,ACTL7B
,CLMN,ROPN1,ICA1,GRID2
,LINC01667,RHOC,FAM71B,USP2
,LINC00943,PFKP,HSPA4L,LCA5L
,C12orf50,C2orf88,AC009396.3,C9orf116
,TSHZ1,TUFM,SPINK2,TBC1D21
,LINC01350,COX8C,LAMA2,LINC01664
,C10orf53,YPEL1,SLC25A6,PRSS37
,GRID2,STOML2,PWRN1,TXNDC8
,BANF2,ERI3,RNF151,MS4A6E
,EMILIN1,TSPAN1,TUBA1A,PWRN1
,ARHGDIA,CCNY,LOXHD1,DCUN1D1
,PRM3,CCDC169,ATF3,MORN5
,FBXO39,CD9,MACROD2-AS1,SPAG17
,HK1,OSBPL10,F3,AL356020.1
,LTBP3,LINC02189,AL158801.2,SORCS3-AS1
,DNAJC5B,NTRK3-AS1,MORN2,AL136988.2
,TBX18-AS1,AKAP3,C9orf116,ARL4A
,GALNTL5,FSCB,CEP170,CA2
,TPD52L3,NRAV,AL356020.1,AC097375.3
,NR2F2,DGCR6L,TEX51,ADAM29
,CLDN11,FAM187B,LINC01989,PAGE2B
,FGD4,SOD3,EPB41L3,ROCK1P1
,PLCZ1,NRDC,ZNRD1ASP,RNF138
,DDIT4,GSKIP,RFPL3S,PHACTR2-AS1
,PRNP,PRR30,SPATA9,AC099566.1
,CNN1,TEX53,AL133371.1,C16orf78
,MFGE8,CST13P,DCC,GK2
,ISLR,IZUMO2,C6orf201,SPANXN4
,AEBP1,ERICH2,COX20,AC080162.1
,CPE,SWI5,ABLIM1,MT-RNR2
,VCAN,ELP5,C7orf31,ODF3L2
,AL078639.1,GPI,BAG5,LINC00658
,C1orf194,KLHDC3,OTUB2,AL133371.1
,TEX35,PPP1R2C,CCDC168,LRRIQ1
,LINC01989,MTATP6P1,TUBA1C,PPP1R1C
,HLA-C,TMEM59,C12orf57,ZNRD1ASP
,CNTFR-AS1,PRELP,SLIT3,ABHD1
,TIMD4,BCL2L14,PPP1R36,LINC01233
,C2orf88,FUNDC2P2,NOP53,UBE2DNL
,C16orf78,SPANXD,FAM205C,AC018558.1
,FAM71C,PPP2R2B,DYNLRB2,DEUP1
,P4HB,ESD,BRDT,CARHSP1
,NDN,EIF1,DAB1-AS1,LINC00635
,RACK1,FAM46C,PAGE3,LINC01989
,DBP,ZBTB20-AS1,CYR61,C12orf42
,CLIC4,EPHX1,AL136988.2,AC009396.3
,AL513327.2,KIF2B,MIR7515HG,AC007598.2
,GUCY1A1,SSX2IP,DDX20,SPATA46
,BAD,BSG,LINC01233,LYZL4
,GAS6,SPATA24,CDKN3,CCDC168
,AC109635.4,NDRG3,SPAG17,AC025263.1
,ANKEF1,EIF5A2,TRIM42,ZPBP
,CHCHD2,ARHGAP28,LINC01676,LINC01723
,LINC00927,AL355357.1,SPATA7,TUBA3C
,ITGA8,MOSPD3,ATP5ME,C2orf73
,FHL1,PCYT2,RNF38,ANKEF1
,RARRES2,HADH,CCSER1,HSPA4L
,BOD1L2,KIF2C,TEX48,C11orf42
,CCDC136,AP2M1,PCP2,PWRN2
,NRAV,LARP1B,AC099566.1,LINC00293
,AC025524.2,PKM,AC092666.1,VRK3
,IFT57,FANCD2OS,HRASLS5,AL355490.1
,COMT,C3orf30,FOSB,OXCT2
,LINC01539,SLIT2-IT1,IGSF11-AS1,LDHC
,LINC00608,AL596275.2,AL672043.1,FGF14-AS1
,SPATA24,PDCL2,GLUL,ADAM5
,ARMC12,FOPNL,PDXK,LINC00929
,LY6E,ACRBP,CTGF,TRIM42
,EFCAB6,TMEM38B,PHACTR2-AS1,LYZL2
,ABHD1,CCT7,AC016747.2,LRRC71
,PMS1,NDUFV3,FAU,SPATA6
,JPX,ZDHHC19,MAEL,AL365184.2
,NRDC,TMEM210,IGSF11,TEX33
,OAZ1,AC209154.2,SORCS3-AS1,SPACA1
,LINC00710,PRM3,PTMA,PLAC8L1
,MMP2,LINC00226,AC007598.2,ZNRF4
,LINC01664,FAM71C,ABHD1,OSBPL10
,AL596275.2,RUVBL2,UBE2DNL,PMFBP1
,INSL3,MYH11,SPATA24,PAGE3
,SNED1,MLF2,PCAT6,TSKS
,BST2,GYG1,AC104971.2,HRASLS5
,MXRA8,RAB34,AC080162.1,LRTOMT
,AC080162.1,MAP1A,LCA5L,HSPA1L
,LINC00301,CYB5R3,PSORS1C1,LINC02219
,C3orf22,SPZ1,SPATA4,AC113423.2
,HLF,NELFE,TXNDC8,SPANXC
,CSRP2,EHD1,CCDC3,ASB5
,ODF3L2,EFCAB6,NRIP3,PRSS58
,CD302,FBLIM1,LRTOMT,RGPD4-AS1
,ENG,ANKEF1,GSTT4,GSTT4
,SH3BGRL3,NSUN4,CA2,DNAJA4
,SPEM2,PLCZ1,MT-ND3,CFAP53
,DPEP1,CLDND1,CAVIN1,CYB5R2
,CSTB,C5orf52,C1orf100,ADAM3A
,TIMP3,FBXW5,CCDC91,DRICH1
,VPS51,ATP5PB,LYPD4,ZNF683
,AL133371.1,CALM1,SQSTM1,TMEM270
,FHL2,HADHB,PPP1R15A,ASB17
,NPC2,AMZ2P1,PPDPF,ACE
,CDH13,CLK4,SIRPD,NRIP3
,SPATA12,GRINA,MYH11,MORN3
,AL157756.1,TTC29,H1FX,PRC1-AS1
,CRTAP,C3orf22,ZDHHC19,SPATA16
,FAM46C,SLC25A4,ERICH2,FAM229B
,ASB5,ESS2,LINC01304,AL158801.2
,OGN,IQGAP2,45726,FHAD1
,LOXHD1,SPATA17,TBC1D21,ZNF571-AS1
,EHD1,UBE2J1,PRPS2,ALKBH7
,C1orf115,IDH3G,LINC01723,C7orf61
,NTRK2,SEC13,DEUP1,KIF15
,PHF7,GKAP1,IGF2BP2,SPPL2C
,EPDR1,BAG6,ROCK1P1,AL049875.1
,CAPZB,IFT22,SELENOM,GAGE2A
,GUCY1B1,SLC25A39,ZBBX,ABCA17P
,CYLC1,ACTL9,FGF14-AS1,AC135977.1
,TMEM210,CALCOCO2,CCSER2,SMIM6
,COX8C,DNAJA4,ZNF124,LINC01255
,RERGL,ANKRD7,PWRN2,MAP3K19
,EMC6,TMEM53,ZNF571-AS1,MPC1L
,UTRN,AC025524.2,AC097375.3,FNDC11
,PLAC8L1,NRIP3,ADAM29,TKTL1
,EPPIN,COPB2,AC025263.1,PHOSPHO1
,C6orf48,RAB5C,TEKT3,AC006012.1
