Myoid-OA,Myoid-AZFc,Myoid-INOA_B,Myoid-KS,Myoid-INOA_S
,CDC42EP3,AHSA1,DDX5,LRP1
,AIMP2,TES,KIAA1210,SRP9
,AC026271.1,PPP4C,MT1E,FARP2
,POLB,GDI1,FOXC1,HMGN5
,LMO4,COX7B2,ROMO1,LAMB1
,GSTA1,SNX17,CCDC74A,UBA5
,TPM2,SSU72,ALDH1A3,STMP1
,SORBS1,TNFAIP8L1,WNT2B,NPC2
,THSD4,USP25,CCDC113,TCEAL7
,TSPYL2,SPATC1,TBX2-AS1,COL6A3
,NEXN,OSBPL10-AS1,PHB,HSPB7
,RAB31,LINC02400,LPP,CNTRL
,TEF,MVB12A,NDUFA11,LDB2
,APLP2,DIAPH3-AS2,ZPBP,NDRG3
,HEBP2,TTLL5,MT-ATP8,SLC25A6
,TNFRSF12A,FBLN5,ITGA8,RASD1
,NDUFS5,LDHC,SELENOP,SPINT2
,PEBP1,PSMB2,ALMS1,C17orf80
,POLR2I,UBE2J2,NUPR1,WDR41
,PSORS1C1,ZPR1,NUCB2,BACE1
,RCN1,G3BP1,BACH1,LTBP4
,SLC38A1,PAXBP1,GNB2,SCARB2
,TEX101,BAG1,MAFB,WFDC1
,SWI5,ITGB1,TMSB4X,VAMP2
,AGPAT1,PGRMC1,NME4,DYNLL1
,CEP85L,HNRNPR,USP2-AS1,TXNL4A
,CYBRD1,AL158801.2,FBXO34,PSMG1
,H3F3AP4,RAE1,FIS1,ATF3
,LIX1L,KIF3B,HORMAD1,MAP1LC3A
,DCBLD2,CAMLG,LAMB1,NMNAT2
,TBC1D21,RNF14,SWT1,SERPINA5
,HIST2H2AC,DNAL1,SNHG9,DNAL1
,NPDC1,CDH13,FARP2,C19orf70
,SMDT1,AFG1L,RGMB-AS1,UBE2J1
,MT-TP,CADM1,KIF27,TOMM20
,SPINT2,LMAN2,CPNE2,FNBP1
,BACH1,CCDC126,SMDT1,GTF2A2
,RFLNB,TKT,CDC14A,SYNE2
,PPP1R1C,FBL,ZBTB1,PRAME
,BEX4,SELENOF,DAAM2,SBDS
,CASC4,PRPH,TFDP2,NUP58
,EBPL,LLCFC1,BTF3,SSR2
,ADAM5,LINC01784,HRH2,UBXN6
,EGLN1,ARL9,NOV,DUSP1
,FYTTD1,GSTM4,C1orf198,ANGPTL4
,LYZL2,BAG4,DKK3,SLC25A46
,HNRNPAB,TMEM159,SRP14,MSI2
,G2E3,PRRC1,UBXN1,NAP1L1
,ITPK1,DDOST,RASSF8,HSP90B1
,HEXIM1,DLK1,AC104083.1,ARPC2
,GK2,CLEC16A,CLTB,UBB
,LRRFIP1,RNF41,FAM200A,NOP53
,MX1,CUL9,C7orf50,EIF3E
,COPZ2,FAM53C,LSM14B,SNAP29
,RGMA,OFD1,SNTA1,LRRFIP2
,HSF1,TPD52L2,LTBP3,ETV1
,SMIM4,BACH1,MT1A,SCN3A
,EIF4H,SLC25A11,FLT1,TCF4
,HNRNPUL2,CRLS1,HNRNPA0,LINC00702
,VKORC1,PUF60,ATP5F1B,PRKCA
,LRIG1,GSPT2,CRYAB,PDCD5
,LYNX1,FXR1,RAMP1,SOX4
,TSEN34,SNX3,PGM5,CKAP4
,JTB,DDAH2,PPIL6,C11orf74
,CARHSP1,MCAM,LHFPL6,PPP1R14A
,PCYT2,EHD2,PRRX1,GYG1
,NENF,AL353743.1,AL590867.2,VPS45
,TMED10,LCP1,NDUFS5,SLC51A
,CTSF,PFN2,LINC01016,ENDOD1
,TUBB4B,CEP164,BUD31,EDNRA
,GSTM3,RIBC1,ARHGAP26,CYP1B1
,CMTM6,PLSCR2,CCDC126,SMIM12
,CCDC3,CCDC57,TMEM38B,COPS5
,EDIL3,KIRREL3-AS2,GPC6,RHOBTB3
,SSR2,MCHR2-AS1,SHROOM2,CXXC5
,FBXO21,LYZL6,DNAJC18,PBX1
,CUL1,SPANXN5,HHIP,NFIX
,ADRM1,GRN,MEX3C,ANTXR1
,SOX9,TIAM2,JPX,TBPL1
,TECR,DPT,RNF168,PLEKHA1
,ENOX1,RBM18,NEK11,NFIC
,CIART,BACE1,CCDC171,EIF4B
,HSPA1B,TMSB4X,SLC8A1,EIF4H
,TINAGL1,PSMA5,SYNGR2,HLA-C
,HPRT1,RPP38,DCAF6,PRNP
,TLN1,PPHLN1,HDLBP,BTF3
,THBD,LASP1,OMD,RPRD1A
,TAF9,TSPAN4,CAPRIN1,SSR3
,ADCY3,IGFBP5,UQCRB,APOPT1
,PPP3CA,SIRT2,FAM76B,DYRK4
,THBS3,TMEM9,ABHD2,MYO9A
,PLEKHF1,CAP2,WTIP,SNED1
,45904,CASQ2,AFAP1,PPP1R15A
,SETD9,UBL7,BBX,WWTR1
,FBLN2,ZMYM2,INPP5A,TMSB4XP4
,ARHGAP28,PSMD11,HSPB7,PLXDC2
,ACP1,SMIM12,EPAS1,LBR
,ITGB8,AC114812.1,THUMPD3,RAE1
,BPHL,EDRF1-AS1,EFCAB11,KLHL7
,PCP2,AC018413.1,AGFG1,ATRX
,NTMT1,MKRN2,AMIGO2,PAPOLA
,RAB23,PAPD4,SYCE3,CRISPLD2
,ARHGAP29,FAM166A,PHLDA2,ZFP36L2
,CIRBP,NPIPB15,RGS16,FBXO34
,RNF168,USP2-AS1,EIF4B,L1TD1
,FAM102B,OTUB1,DMPK,AR
,MATN2,RBPMS2,AC068888.1,NDN
,PID1,ELAVL1,FLNB,DPYSL2
,SELENOW,VPS35L,TSR3,STX8
,GLMP,STAM2,BTG2,EMP3
,SMIM29,FAM114A1,RBBP8,TP53I11
,RAI14,NDRG2,COX7B,FILIP1L
,RGN,UBXN6,GNG11,H1FX
,BCAM,MEG3,PHKG2,NDUFAF3
,ATP1B1,CCDC115,TMEM51,RNF7
,KCNH2,PAQR7,PIH1D2,TUFM
,PTPRA,CAVIN1,SERPINE2,LEPROT
,RAPGEF5,SNX4,SHOC2,MAGEH1
,VAMP2,COQ5,HSPG2,ROMO1
,MGP,DPCD,PFKP,PRKAA1
,GALNT10,HSPD1,GEM,EEF1E1
,EPAS1,FUS,PSME1,MOK
,C9orf43,ROMO1,BHLHE40,TNFRSF19
,TSPAN6,PDLIM7,TBCA,CCDC3
,LYZL4,TADA2B,STAM2,MFGE8
,SSR3,NUP155,BCL7C,LMO4
,TUBB,ANO2,POLR3C,SRP54
,MID1IP1,RAB6A,SERP2,MAGED2
,PABPC3,MROH2B,NDUFA1,CDH13
,BAZ1A,BRWD1-AS2,ARPP19,UBAP2
,ATP6V1A,TEKT2,ZNF677,LDHB
,VAT1,CFAP100,GUK1,FRMD6
,DES,LAPTM4B,DCN,GALM
,SIRPD,NAT6,MSRB3,LUM
,RFPL3S,AF131216.4,MAF1,RGS2
,DCAF6,LINC02053,SIVA1,PDGFRB
,RCN2,C1orf56,NFIB,MARCKS
,ATP1B3,WFDC3,RAB1A,NREP
,HLA-DRA,FANK1,GEMIN4,ECM2
,45912,LGMN,SLC25A3,CCT5
,HOXD8,TSTA3,ZFP36L1,RBMS3
,CDKN1A,TRIP12,MT-TS2,TCF23
,MRC2,BRIP1,HTRA1,HLA-DPA1
,PMVK,PCID2,ARHGEF25,AMZ2P1
,ZNF683,CCNH,IGFBP2,ZNF385D
,45726,TMEM131L,HACD1,LAMB2
,LAYN,CEP57,TGFBI,SGCD
,LZTS2,LINC00667,MEG3,ZCCHC8
,COX4I2,GMPR,CANX,LRRN3
,ZSCAN31,SLC2A8,CARMN,SNHG8
,LAMTOR4,EXOSC4,ME1,HES1
,KIAA1211,MPC1L,CUTA,ZNF91
,PACSIN2,RTL8A,NDUFV1,SMARCA1
,MPC2,ENDOD1,IER5,MTCH2
,DAAM2,MYO1E,CYP1B1,SERPING1
,TSPAN4,CTNNA2,GSN,TCIM
,GNG2,TXNDC17,CNTN4,RND3
,NAA38,AC005912.1,RNF141,ZKSCAN1
,GPX4,GID4,CEBPB,ZNF451
,TCIM,UTRN,CLIC1,CD74
,LCP1,STT3A,TUBA3C,FAT3
,PKDCC,NECTIN3,DNAJC4,HP1BP3
,CLN5,TUBA3C,MTFR1,RASSF2
,TBC1D2B,AL359182.2,LGALS3,ERRFI1
,SPATA46,AUP1,CCDC57,TECR
,NUDT11,LINC00347,GOLM1,GTF3C3
,SRSF2,CDHR2,ZNF487,MAFB
,TOMM20,LEF1-AS1,ATP5MD,B9D1
,UNC119,ANXA4,RNF114,COL14A1
,APRT,ANKRD13A,AP2B1,TFPI
,HSPG2,SNX13,JARID2,SRPX
,CUL2,MED25,RAB31,LSM4
,VPS45,MAN1A1,HEBP2,ZFAND6
,MSI2,ATP5F1C,MYOZ3,KITLG
,LIMS2,SPERT,DAB2,CYBRD1
,SET,NEK11,CLDN1,MIEN1
,CCDC71L,C11orf24,DUSP1,ATPAF1
,AC006012.1,AZIN1-AS1,DACT3,CUL2
,SAT2,RRP1B,TUBB,PDIA3
,POLR3C,TEX264,SORBS3,SH3BGRL
,CETN3,SEM1,NUP58,HNRNPUL1
,OS9,YWHAE,ASAP1,CASC4
,DUT,SUMO2,SMARCA1,FBN1
,TFPI,GRB2,LITAF,LAYN
,C11orf71,GSTO2,LINC01578,SREBF2
,FRK,ACSL1,CCL4L2,ZNF124
,CRISPLD2,KATNA1,ADCY6,CIRBP
,TXNDC8,GSTM3,MINOS1,LRRCC1
,BAX,CFAP20,AZIN1-AS1,CAPN6
,NEK7,NOSIP,UQCR11,NEDD9
,TAGLN2,KANK1,CUL2,GSTA1
,ECH1,USP44,UQCRQ,FCGRT
,TXNIP,RCL1,SPEG,LRRC58
,SCN3A,LTN1,CCDC110,GALNT10
,JAZF1,HERPUD2,RARRES2,THUMPD3
,GSTP1,BCAT1,LGI4,FAXDC2
,ZBTB1,TSN,CD74,CCDC85B
,AC245297.1,S100A16,AFDN,ADD3
,TRIM56,SHARPIN,SUSD5,PTCH1
,ITPRIPL2,GLT8D2,MIS18BP1,TMEM106B
,ARX,TSC1,PRKD3,MUM1L1
,C1orf43,CFAP65,AP1G1,CHURC1
,CDKN3,AHCY,USP44,ATP1B2
,IL34,TUBA4A,CCT6B,NUDT10
,ITGA9,PER3,LGALS1,LMOD1
,AGTPBP1,HSPA13,PLPP1,DEFB119
,FADS1,OSGIN2,CNTRL,EIF2AK2
,PTK2,ECE1,BNIP3,PDXDC1
,NFKBIL1,PSD3,SH3BGRL,PAK3
,SMARCD3,AC008267.5,CITED2,ZFAND5
,IMP3,FLOT1,APP,45910
,MEA1,FH,PIK3R1,NDUFB11
,PLCD3,MINOS1,PPP1R14A,CNN2
,NDUFA1,LSM14A,SPON1,SNHG7
,TEX22,ZBTB16,RFX3,TPM2
,CFAP100,FAHD2B,AES,TMED10
,KHDRBS1,CTDSP2,NEGR1,THSD4
,AC093249.6,NABP2,NTF3,DDX3Y
,ST5,CCT8,MT-ND5,CCDC66
,DPY19L2P2,CCDC110,CDO1,PHLDA1
,COL16A1,TMED9,IQCE,PLEKHA4
,FAM209B,CNTN1,LIMS2,SH3PXD2A
,SMPD3,MTCH2,OCRL,BBIP1
,FARP2,HMGB1,JAG1,LIMS2
,NRXN2,CNTN4,TMEM47,FAM216A
,XAF1,WISP2,APLF,IDS
,TP53I11,METTL22,PMVK,ASH1L
,BRWD1-AS2,RPGRIP1,AC008267.5,RNASE1
,PLA2G16,RFTN2,XPNPEP3,HNRNPD
,MPHOSPH9,UBQLN2,ITM2A,PCCB
,SMIM6,SCP2,LDHC,FAT1
,FAM210B,ZNF580,DDX3Y,PID1
,CCDC8,MEIOC,NDUFC2,SGCE
,AL353743.1,AIF1L,TULP4,IER2
,RGS7BP,WFDC1,PCBD1,EEF2
,DPP7,SET,EIF3G,FOXC1
,SMARCD2,PTGDS,MIR193BHG,CYR61
,PLD3,MTHFD2,ARPC1B,PEMT
,CASC1,CD47,AC103591.3,CWC15
,CUL9,DAD1,EDIL3,LGALS3
,AKR1A1,EBNA1BP2,BGN,CLDN11
,TM9SF3,TM2D3,HSPB2,IGFBP5
,DDX5,SRPK1,GLCE,TXNDC17
,STMP1,BNIP3L,SMCO4,NDUFV3
,SPATA8,HACL1,DYNLT3,TMBIM4
,C17orf80,RPRD1A,HCFC2,SELENOW
,ARID2,GGNBP2,TRIP6,GLG1
,USF2,FRK,PLCL1,MED7
,45907,HABP4,ZBTB38,ZFP36
,SHC1,GPR18,SNHG16,EWSR1
,NISCH,UBE2F,MAP3K7CL,PEG10
,TBC1D1,FBLN2,AC133552.5,DDA1
,PFKL,APOPT1,LAMTOR4,C19orf53
,STAM2,SAMHD1,C1QTNF1,PJA2
,TRABD2A,CTSL,BRAP,CEP70
,PEG10,SNRNP40,MIF4GD,MYL9
,RNF11,APPBP2,CYB5R3,FADS2
,IFITM3,ERP44,AC027644.3,CASQ2
,HSPB1,KIAA0100,SLC22A18,TOMM7
,GNAI1,CTBP2,CLIP4,FLRT2
,TSPYL1,KLF5,FANCM,ACTG2
,ELOB,CLK2P1,ADGRE5,ARHGAP35
,FAM129A,BPI,DZIP1,SOCS2
,PALM,SLC7A2,NME3,CHGA
,KIAA1257,AC093151.3,SLC25A46,PLTP
,XRCC5,CDKN1B,ADAMTS1,HLA-A
,LDHB,PKIB,AC093249.6,UQCR11
,SELENOF,FTSJ3,PLK2,DMD
,EMP1,AC093249.6,TOR1AIP2,RNF6
,GKAP1,LGI2,MAPRE3,NOSIP
,ALKAL2,GTF2A2,CST3,MLLT10
,FADS2,RGMB-AS1,PLIN2,PCYOX1
,TSR2,CIB1,ARHGEF3,FAM210B
,UBAP2L,EDRF1,PITRM1,SEC62
,RHEB,HDAC1,MT1M,CEBPG
,TMEM128,MPHOSPH9,AC090498.1,VWA1
,C6orf99,MLLT10,HRC,SEMA3D
,BOC,CNTRL,LINC01088,PARM1
,NUBP2,SMCO4,C1QTNF2,MYOC
,ELP5,PAM,NT5C,KIF3A
,CBR1,S100A10,SETD2,RER1
,CALD1,LRRTM3,RABAC1,RNF24
,CRABP2,SURF2,ARID5A,TM9SF3
,ISCU,RTN3,PSMF1,COQ5
,PACRG,BGN,FBXO25,ZFYVE21
,ARMC2,RAB32,SMIM10,SPCS1
,PIN1,FAM71F2,DNAJC15,SUMO2
,YPEL3,CCS,ATAD2,KLF2
,DDX3X,DHRS7B,EHD2,LAMP1
,MAEL,RAN,HLA-DRA,ARL6IP1
,WBP2NL,ITGA8,USP15,RAB21
,ZNF22,C2orf42,LTN1,LTBP3
,CEP76,ARL4D,AC005912.1,EGLN1
,TRIM8,MMAB,PPP1R7,PCDH18
,PLAC9,TMEM225B,FAM222B,YME1L1
,CLSTN1,PEX13,ELOF1,MMP14
,GNPDA1,KIF15,NTN4,CHCHD2
,LARP1,POLDIP2,MICAL2,UBQLN1
,H2AFY,PRPF40A,KLC1,UQCRC1
,PXN,PEPD,ANTXR1,CNN3
,SQLE,TBK1,CGNL1,SVIL
,MRNIP,EIF4A2,AKAP11,MMP2
,NOB1,BBIP1,SET,EDF1
,WFDC1,ANXA11,GZF1,LAMA4
,IFI27L1,MAP4,JMJD8,GSTA4
,KLF2,CCNDBP1,ZFAND3,IFT88
,ECM2,SLC41A3,MAPK6,MT-TY
,PDGFA,NDUFA1,KCNA5,FBXO21
,SRP54,ACLY,FKBP4,TCEAL5
,THY1,TBPL1,DRG1,IFI6
,LPAR6,ATP5MG,ABR,BTBD10
,ATL3,TSFM,SPARC,STIP1
,PHYHD1,SOX30,KANK2,SMIM4
,MAP3K7CL,KIAA1257,PRMT2,SET
,MRFAP1,SNAP47,AMZ2P1,TRAM1
,SGCD,EFEMP2,LDB3,LGI2
,TMEM109,MRGBP,SSBP4,SCD5
,NKX3-1,CFAP53,TXN,RAB1A
,MAP7D1,NPNT,NTRK2,NEXN
,DNASE1L3,PLD3,STK24,ITGB8
,GREB1,LY6E,FBXL13,F10
,ATF4,MAD2L2,MTHFD2,POLR1D
,SNRPB,PRR13,PAQR3,LSAMP
,EDRF1,CCT5,PAK3,TSC22D1
,PCAT6,ALG3,CENPW,CMTM3
,ASB17,COPS8,SERPINA5,CYSTM1
,MRVI1,SIGMAR1,AL078639.1,SERGEF
,UBXN1,CFAP221,MRGBP,PCOLCE
,AP1G1,IFT52,PSMD7,KMT2A
,RIMS1,UBA5,KLHDC2,HTRA1
,MTHFD2,NT5C3B,RANBP2,ATP1B1
,CHSY1,ACOT9,NDUFB8,BRI3
,AFF4,AC007969.1,MOK,TNFRSF12A
,RNF130,AKIP1,RND3,SLC40A1
,ZNF487,ARPP19,AC116533.1,MXRA8
,AF131216.4,UBAP2,MRFAP1,MUS81
,ATXN7L3B,GJA4,NMNAT2,NAP1L5
,CFH,MAATS1,BNC2,PHACTR2
,CD63,COLEC12,TUBB6,SERPINI1
,RFX2,PNRC1,CBX5,VPS13C
,MAPRE2,SPIRE1,REX1BD,BACH1
,NFIA,TSNAX,TSC1,SSR1
,HSDL2,PIAS4,CCDC34,COPZ2
,BOD1,CX3CL1,ADSSL1,CUTA
,CTDNEP1,PRKRA,CSDE1,GINM1
,PPP2R5A,MYO1D,RGS4,CCNH
,SCN7A,CFAP43,UBAP2L,RIMKLB
,PAIP2,PPIL6,UBXN4,YES1
,CD74,MIR663AHG,ZCCHC8,PLSCR1
,LYRM1,FTSJ1,BEX3,ATP5MC2
,SLC35G1,MIEF1,COX6A1,SELENOF
,SEPHS1,AC018558.1,LAMA5,CDH11
,FAM104A,SEC23A,METAP1,GAS5
,ARID5B,CORO1C,NPTN,EFHD1
,H2AFX,SND1,SNRPB,RAB31
,CMTM3,RNF168,SCAND1,SC5D
,LDB2,CCDC167,PDLIM7,HMGN2
,TMEM216,ADRM1,NDUFB4,CSTB
,DNAJC18,FLII,ANXA1,MINOS1
,WWP1,WDR61,MIR1244-2,SYPL1
,TMBIM6,CYP7B1,PDLIM3,THBS4
,B4GALT5,LRWD1,INTU,PSMD14
,PRKAR1A,METTL2B,INAFM1,PSMG2
,AC092164.1,OSCP1,PLAC9,PDCL3
,SUN1,ASRGL1,C9orf3,CLMP
,REX1BD,CRYL1,SYF2,CFH
,KLHL23,MYADM,RAB11B,SELENOP
,UBE2M,CYFIP1,LGI2,SERINC1
,B4GALT1,ARFIP1,COX8A,METTL5
,JUN,LMNA,MYOZ1,IGFBP4
,EEF1B2P6,RMI1,GID4,ABCA8
,TMEM183A,KLHL20,CLIC4,LHFPL2
,MDM4,LSM4,FZD7,SYNDIG1
,DDAH2,ELOVL1,TEX30,AK3
,RFK,NOLC1,SPSB3,CCL2
,DYNLRB2,EIF5,MIR99AHG,DZIP1
,HMGB2,PPIC,ZNF518B,VCL
,SEPT7P2,CDC42EP1,NPNT,YWHAZ
,CDIPT,RFX3,SEC31A,DCBLD2
,MIR100HG,XPNPEP3,ANAPC15,ITPR1
,TNFSF12,CRYZL1,CDC42EP3,PURB
,DEUP1,PSMG1,KLF4,GSE1
,FAM102A,AGTRAP,TM4SF1,ERCC6L2
,TMEM98,RAB11B,TMEM109,ARID1B
,HINT1,COPS3,TCF21,EPM2AIP1
,AL451165.2,PHLDB2,OSGIN2,B4GALT1
,PLEKHA4,BCKDK,DNM1L,TBX2
,ZNF385D,CD82,MKL2,NOTCH2
,HS6ST2,AC093752.1,SERPINI1,KLHDC8A
,NDUFV3,ARHGAP26,KAT5,JAK3
,TCEA2,EFHC1,SKIL,TXNDC16
,SHISA5,S100A4,TMEM144,ELK3
,ZBTB4,NXF1,DRAP1,FAM177A1
,THAP5,UBA2,PRMT1,BHLHE40
,NUMBL,PTOV1,MGLL,HMGCR
,NREP,SLC16A7,C21orf91,NPNT
,F2R,45724,GADD45GIP1,UBE2B
,BECN1,WDR41,EEF1B2P6,PPP3CA
,MUM1L1,G6PC3,CLTC,SNTB2
,ZNF124,TMEM106C,MTND3P10,SMAD5
,C11orf65,FAIM2,KIFAP3,FOXO3
,ANKRD6,TFB1M,FBLIM1,ENG
,TKT,NME5,PICALM,IFI27L2
,STMN3,NUP58,YWHAZ,CIB1
,SEC63,TCTN3,PSAP,CHD3
,KIF5C,LNX1,PHTF1,ATP1A1
,AC084033.3,TSEN34,POGZ,CSGALNACT1
,TTLL7,ATG3,RCSD1,ERAP1
,RMDN2,PGAM1,EIF3K,PROS1
,EFEMP2,ZNF22,EIF3F,JAZF1
,RILPL2,GOT1,MAZ,IFI44L
,TOX4,RSL24D1,CALCOCO2,CAMKK2
,MED31,AK5,MT-TP,IGFBP6
,KXD1,RNF6,PPP2R2B,AL118516.1
,PRELP,CYBRD1,COPS6,WFS1
,NT5C2,RAD51C,ALDH1A1,ATP6V1D
,C11orf1,PBXIP1,SDR39U1,AKR1C3
,QPRT,SEC22C,SGCA,EVI5
,PGM1,TAX1BP3,XIST,MIR4458HG
,GPRC5B,MORF4L1,H3F3B,DARS
,HHIP-AS1,COL14A1,PSMA4,ANKH
,HIST1H2BA,RAP1GDS1,LRRC32,SHOC2
,CTNNB1,GLTP,MTCH2,TPST1
,C7orf61,FIS1,REEP3,ERH
,EIF3E,LRRIQ1,UBC,SQSTM1
,APCDD1,RPA1,USP25,MX1
,PLSCR1,JKAMP,CLMP,RBBP4
,NFIC,RCN2,PAWR,STAG2
,SEC61G,ARMC4,PRRC2B,ATP5ME
,ASMTL,C11orf70,FAAP20,SVIP
,TMEM120A,UNC50,CREG1,SNHG6
,SEC11A,CUEDC2,TRIM47,TSPYL1
,ROMO1,ERCC4,EMC6,SMIM14
,CEBPB,COX5B,MT1X,GLUD1
,CHD5,TCEAL7,EID1,TTC28
,NSA2,FCGRT,BMP2,LGALS3BP
,CXCL16,LINC01578,TIMM50,NUDT11
,ATP5MC2,IFNGR2,C6orf89,ACP5
,DRAP1,CLIP3,DXO,LPAR1
,SULF2,DEPDC7,C11orf70,ELOC
,COIL,GMPR2,AL353743.1,MACF1
,AC007969.1,PLEKHO1,PDGFA,GPR155
,C5orf49,F10,ZNF518A,NOVA1
,COG2,JAGN1,TUBB4B,PPM1L
,PRKDC,USP37,RBPMS,BOD1L1
,METAP1,C7,CNBP,SSR4
,CYP2R1,TADA3,TMEM173,SNRPE
,SNAPIN,TM4SF1,MGST2,DNAJB1
,INSR,POLR2C,RNF111,SORL1
,RORA,ZNF677,LTBP4,LPGAT1
,MT-ND4,MTR,RHOA,SPATS2L
,KIAA0753,LDB3,FLRT2,SERPINB6
,NDUFA2,IQCE,HLTF,LRRTM3
,GABARAPL2,CAVIN3,TRIB2,EIF3K
,TEKT2,MAPK8,REXO5,SRM
,CLMP,ALDH6A1,NOL3,SLC8A1
,FNTA,TRAPPC4,VASN,ZEB2
,PABPC4,GLB1,TUSC1,SERTAD1
,GJA4,C9orf43,RANGRF,HNRNPA3
,PPIL3,RBM3,KATNA1,G0S2
,JAM2,AHI1,TBC1D1,FRRS1L
,ATP8B2,TOLLIP,ZNF428,LGMN
,BCL7C,SLC1A4,IER5L,IFNGR1
,TRMT112,MTX2,NEDD8,KANK2
,PREB,ST3GAL4,YWHAE,SMC6
,EPB41L4A-AS1,PIGK,PRKAA1,ROBO1
,HMGCS1,BRWD1,ZNF106,PCDH7
,JUND,TMED5,NECTIN3,SNCG
,EIF3F,ANAPC13,PIGP,RGS22
,AOX1,PALLD,IQGAP1,DDR2
,ARPC2,CLPTM1L,PTOV1,CMPK1
,FBXO2,PLN,NT5DC2,OXR1
,APH1B,PPP1R12B,NAALAD2,LY6E
,SLC41A3,CTSK,ARC,EXOSC9
,TMEM245,ACAA2,ACO2,TXLNGY
,C19orf70,PDZD11,ACACA,SHROOM2
,C1QTNF1,CYP2R1,HSF1,SYNE1
,PRMT2,SRP14,UBE2M,NSA2
,VPS26B,PRKAR2B,RNH1,AKR1A1
,USP2-AS1,NAA40,GPBP1,FRG1
,PURA,MAGEH1,PPP1R12B,APOL6
,SACS,WDR45,SVIL,STK38L
,MIR503HG,KMT2E-AS1,DHRS7,AC007969.1
,AMIGO2,TIMM23,PAFAH1B1,TGOLN2
,AZI2,LARP6,LIX1L,RHOJ
,HSPE1,RFX2,TIPARP,ITPK1
,AK5,B9D1,EMC4,NRXN2
,ZYG11B,FRYL,LZTS2,CMTM6
,PSPHP1,GRK4,TMEM38A,MT2A
,NET1,PHF14,ABHD17A,SNAI2
,HIST1H1A,45906,CKAP2,MYL6
,GBP2,ATF3,UBA2,NR3C1
,DNM1L,TRIP6,GNB1,GNB5
,ARID1B,EGFLAM,ITCH,ENPP5
,IFI27,ACACA,ZYX,C1orf54
,ECHS1,MAOA,ACTA2-AS1,RAMP1
,FKBP9,LTBR,COX5B,ECM1
,RANGAP1,PDLIM5,NFKBIZ,PNISR
,THBS1,PHGDH,BST2,FGD5-AS1
,AP2B1,COPG1,ACAT2,LINC01681
,ZNF428,RBM39,COPZ2,NCOA1
,IFI27L2,BHLHE41,MARVELD1,SAR1A
,YY1,DKK3,ETNK2,LPCAT2
,MYO1B,GPX8,HNRNPAB,H2AFZ
,SMIM1,SCAMP3,EBPL,ATL3
,WAC,BABAM2,PTTG1,SON
,SCD5,BOD1,AKR1C3,C6orf89
,SCAND1,RABGAP1,RTL8A,BPTF
,AKR1C1,PDCD6IP,ERRFI1,KLHL42
,FANK1,GPR137,ASMTL,TIMMDC1
,TCEAL1,ATP8B1,STARD7,OLFML2B
,ARHGAP26,HM13,GNAI2,NHS
,KLHDC8A,DDA1,ADGRA2,CHML
,HCFC2,IL13RA2,COIL,MAGED1
,IRF2BP2,FBXO25,NUMA1,HLA-E
,METTL26,SNRPG,H3F3A,MTDH
,PRDX4,HAUS2,WDR41,ZFYVE16
,IER3,LPIN2,CCNI,EPCAM
,DDAH1,EOGT,TMEM100,SMIM15
,C7orf50,PROK1,APRT,JMJD1C
,PPP2R2D,GSTA4,ZNF358,BHMT2
,AAMP,ATP8B2,ABI3BP,KCTD12
,EPB41L1,FAM200A,RALA,KLF3
,ISCA1,HP1BP3,DBF4,RPRD2
,PFN1,PIH1D2,ZCWPW1,TAB2
,CCDC110,GADD45B,MED13,NPTX2
,ZFAND4,AL118516.1,CERS2,FAM198B
,RCC1L,COL4A5,DCP2,AEBP2
,ULK4,TPM2,TMEM160,NEK7
,ATP5F1D,JADE1,PCSK7,CD82
,CREBRF,CCNB1IP1,MIR100HG,HNRNPR
,TMEM270,HIST1H1E,COL14A1,HSF2
,EMP2,LMCD1,ZNF503,SERPINH1
,TENM2,SLC35B1,TSPAN2,JAM2
,ZCCHC17,PHF8,TPGS2,ALDH3A2
,SIAH2,SH3KBP1,EHD1,DCAF16
,PITPNA,DHPS,FAM241A,LUC7L3
,CCDC57,PPP3CB,MGARP,SMARCA2
,C4orf48,BTG2,PNMA1,XBP1
,SPATA16,CASC1,RASGRP2,NIPAL2
,PGLS,WNK3,SRM,ZSCAN16-AS1
,TAB2,RIMKLB,BEST1,NBDY
,IDH1,PDK4,RNF187,HIST1H1C
,GSTA4,VPS25,PTMAP4,NSMCE1
,LTN1,SNAI2,CAPZA1,GHR
,XRCC1,DDX5,KIF1C,MSL1
,PHLDB1,TIMP1,A4GALT,HIVEP2
,CALR,TRIAP1,EIF6,NDUFB1
,FMNL2,H1F0,PTRH1,TCEAL8
,FLRT2,NDUFB7,KIAA0753,SLIT3
,COLGALT1,MT-TY,EPCAM,CTSO
,GUSB,SRSF5,CKAP5,SYF2
,RNF19A,UCHL1,DMTN,TOB1
,GZF1,PHYHD1,NDFIP1,NDUFC2
,CBX7,NIF3L1,APPBP2,SRRM1
,PHGDH,NRGN,TOR1AIP1,PDIA5
,CBX3,SLC9A3R1,FBXO7,GNB1
,PHKG2,KIAA1211,HSF2,ARRDC3
,PSMA2,SLIRP,ENPP1,NEO1
,ATP2A2,OGN,CAP2,MTX3
,KHSRP,HLF,UBA5,SRSF6
,C17orf64,PEMT,SCARA3,HMGN3
,CTSA,PYCR2,BLCAP,FEM1B
