ST-OA,ST-AZFc,ST-INOA_B,ST-KS,ST-INOA_S
CSKMT,GSG1,ACSBG2,PSKH1,HSPD1
FBXO11,ITPR1,CSMD2-AS1,HLTF,ZDHHC2
LDHA,FGFBP2,MDH2,CYHR1,GUK1
ERG28,PRKAR1A,LINC00854,NSA2,PLEKHH2
EIF5,CLN5,DAZAP2,CTGF,JAK1
LIPG,REXO1,JUNB,SBF1,SH3BGRL
RAD23A,NDUFA11,ANXA2,ANAPC15,LINC00467
CCDC110,RBBP7,ODF2,RAD23A,ITSN1
HLA-DRB1,FAM102A,CYLC2,SUCO,CCDC169
BEX1,RBBP4,AL133320.1,MTA1,CLGN
SUCO,COX6C,LRRC41,CAP1,MRO
PPP3R2,FLII,BANF1,TRIR,IER3
MED31,SPATA3,RRAS,PIGF,RBM39
ZPBP2,FBXO11,HIST1H2AA,CCZ1,C11orf96
IL32,HNRNPA1,TSPAN16,EPN1,SMS
COX6A1,FAM53C,TAGLN2,CHGA,RBBP7
KTN1,PHF7,HNRNPA2B1,IER2,ATP5MD
EMC4,PLAC9P1,TALDO1,DNAJB1,JUNB
NIPA2,OAZ3,TMEM9,MT-TV,CCDC7
ZPBP,UQCRB,ATP5PO,CARHSP1,CST9L
SLC3A2,C16orf58,WASHC3,GPX4,MARCKS
COPE,TSPYL1,DDI1,MTND3P10,YWHAQ
HPS3,FBN1,C11orf96,FKBP8,SRSF6
C11orf71,HLA-DRB1,C12orf54,ODC1,GNAS
FBXW2,EGR3,AGTRAP,BRICD5,STAU1
C1orf43,ODC1,AMHR2,SPINT2,PKM
AC084033.3,AKR1B1,C12orf50,KCNH2,RORA
LRRC59,RASA1,C1orf100,TTYH1,TRIM55
SCD5,SMC4,SON,GAMT,DPYSL2
TCP10L,SPARCL1,COPS6,ATG4D,ACTB
SQSTM1,SUCO,ADAD1,ACOT13,HIGD2A
P4HB,QKI,GYG1,SCRG1,SLC25A5
SOD3,CCND2,MORN2,WDR73,EIF4B
