ST-OA,ST-AZFc,ST-INOA_B,ST-KS,ST-INOA_S
,GADD45B,,TSACC,ATXN10
,ZCCHC24,,MAPKAPK2,IFNAR1
,PURB,,IDI1,CELF2
,FAM49B,,SERF2,TSHZ2
,EIF4EBP2,,BCAP29,CD47
,PPP1CC,,SCYL1,ANXA6
,ELK1,,STMP1,PCNP
,MAPK1IP1L,,CAMSAP3,GTF2H5
,VAMP3,,AP3D1,DENR
,SERP1,,SPTBN1,CCDC69
,POLE4,,AP2S1,CHD9
,SOX2-OT,,TIMM17B,RAB32
,CD99,,RNF138,BARD1
,PEX2,,TBPL1,DOCK5
,NF1,,SREBF1,PKN1
,BRPF3,,RTL8C,SERPINB9
,CARHSP1,,SEM1,MSMO1
,MT-TL1,,CHPF,USP37
,TOMM20,,NME5,ATF5
,NDUFB5,,TMEM141,SENP6
,GNA13,,GNB5,WLS
,MTHFS,,IL32,FAM221A
,TRIM28,,TRAPPC2L,CSNK1A1
,HSPE1,,FNTB,TAF7L
,POLR2I,,ERH,WDR61
,TMED5,,HSPA5,DNAJA1
,GJA1,,PLIN2,PIK3C2A
,RAB5B,,KRR1,FAM102A
,ARRDC3,,ATF7IP,ZNF462
,G3BP2,,MAGEH1,ACAP2
,WDFY3,,SSU72,COX5B
,MAGEB1,,BBIP1,NRXN1
,IFI27,,HSP90AB1,ABHD10
,SPOCK2,,TAPBP,CFLAR
,PAFAH1B1,,GBP2,TMA7
,NT5DC1,,MTCH1,CDC42SE2
,CDC42SE2,,TJP1,SRP14
,SGPP1,,ATP6V1D,RSRC2
,TMED2,,TAOK1,RUFY3
,SPTLC3,,TUBA1A,SH3RF1
,SEMA3C,,SYNGR2,NF1
,PXN,,TES,PHACTR4
,KCTD3,,BTG1,MBNL1
,ELAVL1,,EIF3F,OST4
,PON2,,PIN1,MIS18BP1
,LLPH,,MT-TM,METAP2
,TCEAL8,,KIF9,LIMS1
,VAT1,,NCK2,S100A16
,DDX17,,MORF4L1,45906
,NDUFC2,,LMBR1L,MTUS1
,C8orf88,,LGALS3,SAMD12
,MTUS1,,NDUFB10,PCCB
,EIF3F,,SMARCA5,OPTN
,PBX3,,SECISBP2L,MTMR12
,SDHB,,DDAH1,ZCCHC17
,SLC41A3,,SCN9A,KIF1B
,SPANXB1,,PFDN4,CAPRIN1
,AIDA,,SNX3,YPEL2
,NDUFA5,,ATP5F1A,HNRNPA0
,FAM229B,,COX14,RAB4A
,MTCH1,,CHCHD5,ARHGEF12
,UBTD1,,RAB11B,MIER1
,C21orf91,,ZBTB38,BROX
,STARD7,,GLRX5,SMARCC1
,AC004656.1,,SELENOF,MED13
,KLHL9,,CSNK1D,KLHL9
,ARF6,,ATP2B4,FLVCR2
,RPRD1A,,LGALS3BP,SH3D19
,PLEKHA3,,PTPA,EIF2S1
,ADNP,,MGST2,PRUNE2
,PRDX4,,RANBP1,HERC5
,SKIL,,CCDC47,CDC42EP1
,CTDSP2,,SDHB,NFATC2IP
,SELENOW,,DPY30,HMGN1
,HP1BP3,,SAT2,PJA2
,POLR2K,,PSENEN,GRB2
,NDUFS4,,CHCHD1,CCNT1
,TSC22D4,,SMDT1,CBWD1
,HIPK3,,CCDC59,CARD19
,NME1,,MT-TD,HCFC1R1
,SNRPD1,,POLR2F,H2AFY
,MIER1,,SYT11,COX6B1
,CCNG1,,YWHAZ,CUTA
,RTL8C,,OBP2B,CNOT7
,MED25,,POLR2J,SARS
,COPS8,,TUSC3,SEC61B
,HEBP1,,RBM3,SRPRB
,H2AFZ,,PGD,ICE2
,APH1B,,NME1,MT-TM
,CRK,,FAM162A,RASSF2
,ARPC3,,TM2D1,ASH2L
,SEC11A,,CUL4B,CSNK2A1
,AASDHPPT,,ZFR,TSEN34
,PTPRG,,TKT,ZNF24
,FIS1,,PDHB,ATG5
,TP53BP1,,IFNGR1,SDC4
,DAZAP2,,KTN1,KREMEN1
,PGRMC1,,AP3B1,NFE2L2
,OLA1,,TNFRSF12A,CCT8
,APOBEC3G,,PJA2,HBS1L
,UTP4,,ENPP2,SLC2A4RG
,AP1S2,,OAZ3,STAM
,FNTA,,IFITM2,SLC30A9
,RORA,,CRYAB,PTPN2
,MARK4,,COX6B1,DEK
,TMEM14A,,ITM2C,VCL
,TAF11,,VPS26A,CHST9
,VPS41,,PRKDC,SNX17
,ARPP19,,SLBP,EIF3M
,GOLPH3,,NDUFV3,GSS
,CETN2,,UXT,USF3
,YPEL2,,CDK16,SOD1
,ABHD10,,PSMB4,GNG7
,ABI2,,DST,HNRNPUL1
,GLUD1,,NEDD9,SYPL1
,MT2A,,DESI2,MARK4
,SSB,,CAMK2D,AP2M1
,SMIM14,,TOLLIP,C7orf50
,GDI2,,SEC61B,PIK3R1
,NBDY,,ZNF91,EIF3D
,AZIN1,,LRPPRC,BUD31
,TTC8,,DAAM1,FATE1
,WWP1,,NDUFB2,BTRC
,SKA2,,ATP5MC2,ARPP19
,COX6B1,,C19orf53,PFKL
,MZT2B,,FKBP3,HSPA6
,ATP6V1A,,SYNE1,ANAPC13
,NDUFA8,,COX6A1,ACO1
,GSE1,,HNRNPA2B1,ANKRD36C
,GATA4,,MBNL2,PRPF4
,ALDH1B1,,TCEAL7,ATOX1
,SPANXN3,,HPS5,CAPNS1
,TIMM17A,,PAFAH1B1,HMGN2
,SMIM26,,FYTTD1,DNAJB2
,PTGES3,,USP8,TMEM52
,ST13,,CLCN3,SELENOK
,LAP3,,IFT20,SUDS3
,ANP32A,,PHF3,RTRAF
,ETNK1,,SPOCK1,TRIR
,BEX5,,NXF3,PHF24
,CAPZA2,,TXNDC17,ATXN1
,SCAMP1,,ROBO1,RBBP6
,EIF3K,,NANS,SRSF10
,FAM199X,,ATXN7L3B,SAR1A
,CSTB,,UROD,MAP3K2
,DGUOK,,ITGB8,MAPK9
,CRBN,,GRN,CRYAB
,TBCA,,AP3S1,HNRNPU
,KIAA1551,,ATP8A2,FAM213A
,PSMA1,,MAP4,BMI1
,SOD3,,SOD1,CETN2
,ABHD4,,USP15,CISD3
,LSM5,,BOD1L1,YWHAE
,LAMTOR4,,CITED1,NIPSNAP3A
,TMEM56,,LAMA2,CHCHD10
,CA5B,,GTF2H5,RWDD1
,IMPACT,,COPS2,GADD45GIP1
,NAA30,,TIMMDC1,JAZF1
,TPMT,,CARMIL1,UBXN2A
,NDUFB3,,PTN,ATP5PB
,KCTD12,,EIF4G3,ACOX1
,AMD1,,ZNF638,COX5A
,ID4,,SMC4,LRIF1
,ROMO1,,ARPC3,SPOCK1
,CMYA5,,CDC42,SRSF8
,GUK1,,POLE3,NKIRAS2
,ASS1,,ISCU,NDUFAB1
,DBI,,SMC6,TSPYL5
,PPDPF,,ATRX,FIBP
,C4orf48,,SSR4,ARL8A
,ZBTB8OS,,CXADR,BEX2
,SERPINE2,,DECR2,TRIM44
,CSNK2A1,,TEX264,APOOL
,ANKRD7,,WRB,SLMAP
,RGS5,,EZR,TFAM
,EGLN1,,ATOX1,SMU1
,PSMA3,,ERGIC3,PERP
,SPANXD,,SUB1,MZT2B
,,,NDUFB3,NUTF2
,,,ATG3,PTPN7
,,,ANXA5,USP34
,,,NDUFAB1,ELOB
,,,TMEM14C,FBXL5
,,,BANF1,TPX2
,,,PPP1CB,HSD17B4
,,,HPRT1,RAB6A
,,,FTL,ELP1
,,,MIA3,SMAD4
,,,SEC11A,ELAVL1
,,,ANXA6,USP13
,,,DGUOK,TOR1AIP2
,,,SERINC1,PLEKHB1
,,,TBCB,NDUFB9
,,,HIGD2A,SMIM19
,,,ARF1,ANXA2
,,,LTN1,SAT2
,,,AKAP12,BNIP3L
,,,ANKRD36C,MT-TG
,,,KIDINS220,ARHGAP20
,,,USP47,RAB11B
,,,C1orf21,C3orf70
,,,ASH1L,TXNL1
,,,SETX,PPP1R10
,,,GLG1,TTC37
,,,CCDC141,UBAP2L
,,,ZNF711,GUF1
,,,H1F0,KRT10
,,,FBXO34,COPS2
,,,UQCRFS1,CAP1
,,,ACTR2,TRAPPC1
,,,TAF11,LAS1L
,,,ELOC,PAPD4
,,,PNRC1,C1orf123
,,,ANAPC11,APOBEC3C
,,,AIFM1,ARHGEF3
,,,PKN2,ADNP
,,,HSPE1,RBMX
,,,HLA-A,JPT1
,,,TRIP11,SERP1
,,,DKK3,TYW3
,,,SOX4,RHOU
,,,FAT1,ERG28
,,,DECR1,PRPF6
,,,COMMD6,CCDC43
,,,ZCRB1,B2M
,,,PTBP3,MAP3K21
,,,ACE2,PEAK1
,,,SRRM1,ETFA
,,,TSPAN3,CCDC25
,,,ELOVL2,UTP4
,,,THOC2,SUCLG2
,,,UBR4,C8orf33
,,,RDX,TAF11
,,,MOSPD1,VAMP7
,,,HIST1H1E,DLGAP4
,,,SDCBP,ENY2
,,,HERC5,RFK
,,,PPP1R12A,ETF1
,,,FAM69A,CCDC68
,,,EIF2AK1,GTF3C6
,,,VAPA,SRSF9
,,,PPFIBP1,SOGA1
,,,BIRC6,GATAD1
,,,ZC3H7A,CRK
,,,NUPR1,RETSAT
,,,MT-TL1,FSCN1
,,,MYOZ2,MSL3
,,,MACF1,IARS
,,,EPRS,ABI1
,,,DDX24,EAPP
,,,GOLGA5,HSD17B10
,,,HELZ,SOD3
,,,RGL1,LLPH
,,,PDIA3,CLINT1
,,,ZNF322,ROMO1
,,,SYAP1,SRI
,,,EP300,SH3RF2
,,,RNF13,ADAR
,,,MAP3K5,RNMT
,,,DDX21,ANKRD36BP2
,,,CDH2,UTP3
,,,SRP54,MBD2
,,,AKAP11,BLOC1S6
,,,FAXDC2,ZNF138
,,,ZCCHC11,ERH
,,,JAK1,CDO1
,,,FAM214A,HTATSF1
,,,TPP1,STARD7
,,,ATF7IP2,SAMD5
,,,NIPBL,WAC
,,,DYNLT1,NASP
,,,WNK1,VMA21
,,,RB1,FAM241A
,,,NCOA2,PHPT1
,,,MXI1,NAP1L4
,,,PARP4,VPS41
,,,DENND4A,TWISTNB
,,,PEG10,CYP11A1
,,,PLXNC1,LBH
,,,ZFYVE16,PRKACA
,,,CKAP5,UQCRFS1
,,,ADD3,ZSCAN16-AS1
,,,S100A6,GCFC2
,,,NFIA,DDX1
,,,SAMHD1,CDC37
,,,MEF2C,KCTD3
,,,VPS13C,PRR14L
,,,HNRNPC,SLC6A8
,,,CTNNAL1,PRDX5
,,,ACSL3,SNX4
,,,TIMP2,RDX
,,,CYP20A1,RAB2A
,,,HSPA9,KPNA4
,,,SPATA22,FAM49B
,,,CHML,PSMG2
,,,MYO6,ARHGAP5
,,,HK2,DCTN5
,,,EIF2A,TIMM8B
,,,PLXDC2,EPS15
,,,LMO7,CYC1
,,,XPO1,PTPN1
,,,PSMD12,PHC3
,,,IFI16,VDAC2
,,,ZNF708,KPNA3
,,,GCNA,CDC40
,,,UPF2,NCAM1
,,,RAP1B,TOX
,,,PEG3,PPHLN1
,,,FAM13B,API5
,,,EPS8,MFF
,,,BX119904.2,HNRNPA3
,,,UBXN4,TP53INP1
,,,ZNF189,RTL8C
,,,SMARCC2,CDKN1B
,,,PIK3R1,LRPPRC
,,,TMED8,IPO7
,,,PTP4A2,RAB5B
,,,ZEB2,IMMT
,,,ATP2B1,PLA2G16
,,,CNOT4,WBP11
,,,PNPLA8,RYBP
,,,TSPAN5,HLA-B
,,,APPBP2,ATP5MG
,,,CANX,BORCS7
,,,CD164,UTP23
,,,NFE2L2,PPFIBP1
,,,TIMP1,GGCT
,,,ZNF292,SPAG9
,,,TNRC6B,DDX3X
,,,DOCK7,GTF2H1
,,,MTSS1,ZNF226
,,,PPP2R2A,ALDH9A1
,,,NCOA7,CLPX
,,,MT-TI,CDV3
,,,NCAPD3,APOBEC3G
,,,SCFD1,GAB1
,,,LMBRD1,VPS28
,,,BNIP3L,CYB5B
,,,KPNA3,FKBP3
,,,ITCH,C1orf141
,,,ARHGAP5,ZNF160
,,,LIMA1,GTF2H3
,,,SERINC3,C1QBP
,,,XRCC5,DYNC1I2
,,,SPANXN4,ACTG1
,,,PPP3CA,HADHB
,,,MAP3K1,SCYL2
,,,JMJD1C,MAP2K4
,,,TOX4,BRI3
,,,ZNF106,TMEM263
,,,STAT3,PRPF40A
,,,INHBB,ARID5B
,,,DDR1,CPNE3
,,,R3HDM2,GATA4
,,,CSNK1A1,CLTA
,,,IFNAR1,TOMM34
,,,ARFGEF2,RSL1D1
,,,IFITM3,HSPA4
,,,ZBTB10,WTAP
,,,ARPC5,HDGFL3
,,,SHC4,NT5DC1
,,,N4BP2L2,DNAJC19
,,,NAPEPLD,PAFAH1B2
,,,RUFY3,TROVE2
,,,KLHL4,AHNAK
,,,CHD8,SNX3
,,,SYNPO2,FTL
,,,SORT1,SMIM15
,,,OSBPL9,TEAD1
,,,SBNO1,CKM
,,,WT1,COX7B
,,,PALLD,AP1S2
,,,CLIC1,CAPZA1
,,,USP9X,BCL2L13
,,,PEAK1,UQCRC1
,,,MAP3K20,SRP72
,,,MBNL1,UBE2D2
,,,CENPC,UBB
,,,CPE,PCBP2
,,,DISP1,CSDC2
,,,AR,ATP5PO
,,,NBEAL1,HSBP1
,,,PIP4P2,NDUFAF8
,,,ARMCX3,SNRPD3
,,,MT1X,CWC15
,,,KIF21A,SAP30BP
,,,INTU,SETD3
,,,FAM114A1,GMPS
,,,ITGAV,PSMB2
,,,TRPC5OS,DUT
,,,YWHAG,ZNF708
,,,LYST,POLR2G
,,,PBRM1,SEC11A
,,,CNST,ATP5MPL
,,,TRIP12,ARL2
,,,SPANXN3,NAXE
,,,FAF2,NARS
,,,DDX6,VPS39
,,,SMARCA2,C16orf87
,,,ZNF644,TXNL4A
,,,IMMT,LAMTOR4
,,,U2SURP,AP2S1
,,,USP10,RTL8A
,,,DAXX,PHF6
,,,ADAM10,DECR2
,,,DBT,FAM98A
,,,PTPN11,SNRPD1
,,,DDX10,DNM1L
,,,LGR4,CGGBP1
,,,PTTG1IP,GMPR
,,,TAOK3,VPS4B
,,,HUWE1,SNRNP27
,,,SUPT16H,CYCS
,,,MED13L,F8
,,,NOL8,UBE2A
,,,KAT6A,MED4
,,,EMP3,MAP1LC3B
,,,ZBTB41,HMGB2
,,,ZNF518A,NXT2
,,,CWC22,TCEAL5
,,,USO1,ATF7IP
,,,KDM5B,RPRD1A
,,,SMC5,PPCS
,,,CEP350,IFI6
,,,PPP2R3A,RAP1B
,,,ARAP2,LYRM7
,,,DARS,GLRX5
,,,ELOVL4,NOSTRIN
,,,DEPP1,GNPDA1
,,,KIFAP3,BEX5
,,,AGPS,CAPZA2
,,,TMOD3,NDUFA10
,,,SFT2D2,MDH1
,,,,PPP2R3A
,,,,C4orf3
,,,,CHMP5
,,,,COX6A1
,,,,CALD1
,,,,TRMT112
,,,,SKP1
,,,,NDUFA1
,,,,TPRKB
,,,,EIF2A
,,,,CFAP97
,,,,TRPC5OS
,,,,RANBP1
,,,,FNDC3A
,,,,ESCO1
,,,,45914
,,,,PAPOLA
,,,,THYN1
,,,,NDUFB10
,,,,RBX1
,,,,USP16
,,,,SNRPC
,,,,PUM3
,,,,HSPE1
,,,,DYNLL1
,,,,NEDD8
,,,,TCEAL8
,,,,HMGN3
,,,,NUDT11
,,,,YPEL5
,,,,BZW1
,,,,TIMM17A
,,,,DEPP1
,,,,NDUFB4
,,,,C12orf75
,,,,TCEAL9
,,,,ZFAND6
,,,,DDX21
,,,,RNF7
,,,,SNRPG
,,,,GPATCH11
,,,,ARL3
,,,,THUMPD1
,,,,PSMA7
,,,,WASL
,,,,WDR83OS
,,,,SLIRP
,,,,SMIM4
,,,,RAB18
,,,,SMIM26
,,,,NDUFA2
,,,,ANAPC11
,,,,PSMB5
,,,,C19orf53
,,,,VPS26A
,,,,PDLIM1
,,,,GRPEL1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
