stage,group,comparison,pathway,pathway_readable,setSize,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment,neglog10_fdr
Round_Spermatids,OA,OA vs Ctrl,HALLMARK_KRAS_SIGNALING_UP,Kras Signaling Up,196,1.48525125640339,0.00155879951470402,0.00371142741596194,0.00117202971030377,5111,"tags=34%, list=14%, signal=30%",SPARCL1/CCSER2/APOD/TSPAN1/KIF5C/ENG/GNG11/GADD45G/ID2/NRP1/PECAM1/GUCY1A1/SLPI/CA2/CDADC1/EVI5/CTSS/CPE/PPP1R15A/CFH/GYPC/PEG3/PSMB8/CCND2/MAP3K1/GLRX/LCP1/TOR1AIP2/PRELID3B/IL33/ETS1/DCBLD2/GPNMB/EMP1/CROT/TSPAN7/ACE/LAPTM5/HBEGF/INHBA/MMD/FCER1G/IGFBP3/F13A1/FUCA1/RGS16/C3AR1/ADAM17/ST6GAL1/SOX9/ABCB1/GPRC5B/TSPAN13/SPRY2/DUSP6/ITGB2/LAT2/CD37/STRN/MPZL2/SDCCAG8/ANO1/BIRC3/PLAUR/NGF/ALDH1A3/CMKLR1,2.430459028484716
Round_Spermatids,OA,OA vs Ctrl,HALLMARK_IL6_JAK_STAT3_SIGNALING,Il6 Jak Stat3 Signaling,83,1.64501192670287,0.00177263607745716,0.00402871835785717,0.00127222684984963,4867,"tags=31%, list=13%, signal=27%",A2M/CD9/JUN/PTPN11/STAT3/IL6ST/PLA2G2A/IL13RA1/CD36/IRF1/LEPR/STAT2/GRB2/CXCL3/IFNGR2/IFNGR1/FAS/TNFRSF1A/CSF1/SOCS1/ACVR1B/CD14/IL3RA/CXCL11/IL1R1/PDGFC,2.394833092478552
Round_Spermatids,OA,OA vs Ctrl,HALLMARK_HYPOXIA,Hypoxia,197,1.4750322679785,0.00232057949519341,0.00504473803302916,0.001593075168325,5052,"tags=41%, list=14%, signal=35%",CAV1/DCN/MT2A/S100A4/FOS/DUSP1/ANXA2/CAVIN1/JUN/MT1E/KLF6/BGN/TPI1/ZFP36/BTG1/MYH9/MXI1/CDKN1C/SERPINE1/PNRC1/ERRFI1/GPI/WSB1/CDKN1A/CDKN1B/PAM/PPP1R15A/PGK1/ENO2/JMJD6/CITED2/MAP3K1/HSPA5/IDS/GLRX/PDK3/BNIP3L/ETS1/ATF3/PLIN2/SELENBP1/ANKZF1/HK1/COL5A1/DTNA/CSRP2/EFNA1/HDLBP/IGFBP3/EGFR/SIAH2/PRDX5/RORA/GAA/F3/PPP1R3C/AK4/KLHL24/CHST3/RBPJ/NDST1/HS3ST1/NFIL3/TES/BCL2/VHL/KLF7/PGF/PYGM/CCNG2/FOXO3/VLDLR/PFKL/BHLHE40/INHA/HEXA/ENO1/NDRG1/TGM2/PLAUR,2.2971613812137535
Round_Spermatids,OA,OA vs Ctrl,HALLMARK_TGF_BETA_SIGNALING,Tgf Beta Signaling,54,1.62990533720519,0.00450084230315037,0.00937675479822993,0.00296108046259893,4231,"tags=48%, list=11%, signal=43%",ID3/ENG/SPTBN1/RHOA/RAB31/JUNB/ID2/ID1/FKBP1A/CDKN1C/CTNNB1/SERPINE1/TJP1/THBS1/ARID4B/PPP1R15A/BMPR2/KLF10/IFNGR2/HIPK2/XIAP/FNTA/CDK9/WWTR1/HDAC1/LTBP2,2.0279474406271527
Round_Spermatids,OA,OA vs Ctrl,HALLMARK_HEME_METABOLISM,Heme Metabolism,194,1.41184588893467,0.00540291899266802,0.0103902288320539,0.00328112489433281,5040,"tags=37%, list=13%, signal=32%",HBB/MGST3/TCEA1/TNS1/BACH1/DCUN1D1/CTSB/ACKR1/MXI1/SDCBP/ADD1/CAST/BTG2/CA2/RBM5/SEC14L1/BLVRB/LAMP2/ENDOD1/AGPAT4/ISCA1/GYPC/PRDX2/BCAM/ARHGEF12/TMEM9B/BNIP3L/RIOK3/UROD/ASNS/TRIM58/SELENBP1/NFE2L1/ADIPOR1/TOP1/PICALM/FBXO7/TRAK2/BTRC/CTNS/VEZF1/TFRC/ADD2/KLF3/CAT/BLVRA/CCND3/TNRC6B/LRP10/XPO7/HBZ/FBXO34/USP15/FTCD/NEK7/KAT2B/CLCN3/GCLC/ATP6V0A1/MARK3/YPEL5/SLC6A8/GAPVD1/FOXO3/PGLS/SLC25A38/RANBP10/ABCG2/PSMD9/SLC10A3/ACP5/ALAD,1.9833748875338797
Round_Spermatids,OA,OA vs Ctrl,HALLMARK_MTORC1_SIGNALING,Mtorc1 Signaling,197,1.42773512629644,0.00521820839045548,0.0103902288320539,0.00328112489433281,4943,"tags=46%, list=13%, signal=40%",IGFBP5/CD9/TCEA1/NFKBIB/CANX/NUPR1/MTHFD2/TPI1/HSPD1/PPIA/HSP90B1/PPA1/CCT6A/BTG2/PSMC6/GPI/MLLT11/PSME3/HSPA9/PSMA3/PITPNB/CDKN1A/FGL2/PPP1R15A/RPN1/PGK1/FKBP2/HPRT1/ADIPOR2/YKT6/ACTR2/IFRD1/HSPE1/SEC11A/SERPINH1/UCHL5/PRDX1/HSPA5/UFM1/HMGCR/ATP5MC1/GLRX/ACLY/USO1/PNO1/ASNS/PDAP1/ETF1/SLC1A4/ELOVL6/TM7SF2/TUBA4A/CTSC/PSMD12/TFRC/NAMPT/FADS1/ATP2A2/RIT1/G6PD/LGMN/AK4/CYB5B/SDF2L1/SQLE/CTH/IMMT/RAB1A/GCLC/ELOVL5/XBP1/ABCF2/ATP6V1D/GLA/NFIL3/TES/TXNRD1/STIP1/ITGB2/RDH11/VLDLR/ME1/SCD/NUFIP1/PFKL/BHLHE40/CCNG1/TMEM97/SC5D/ENO1,1.9833748875338797
Round_Spermatids,OA,OA vs Ctrl,HALLMARK_ANDROGEN_RESPONSE,Androgen Response,98,1.51667670264101,0.00772644428752209,0.0143082301620779,0.00451838847223514,3090,"tags=40%, list=8%, signal=37%",B2M/FKBP5/CDK6/MYL12A/SLC38A2/SAT1/ARID5B/UBE2J1/ACTN1/GUCY1A1/LMAN1/VAPA/PDLIM5/XRCC5/TMEM50A/TSC22D1/GPD1L/SEC24D/ELK4/LIFR/MAF/ABHD2/SGK1/IQGAP2/HMGCR/STEAP4/SMS/CCND1/ADAMTS1/NGLY1/B4GALT1/TNFAIP8/INPP4B/APPBP2/GNAI3/SELENOP/CCND3/UBE2I/FADS1,1.844414082409257
Round_Spermatids,OA,OA vs Ctrl,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,Reactive Oxygen Species Pathway,48,1.61693619409643,0.00911640443929847,0.0162792936416044,0.00514082957103297,4469,"tags=46%, list=12%, signal=40%",FTL/GPX3/SOD1/PDLIM1/GLRX2/JUNB/PRDX6/TXN/PRNP/PRDX2/PRDX1/GLRX/CAT/SOD2/G6PD/PRDX4/NQO1/GCLC/HMOX2/TXNRD1/NDUFS2/STK25,1.7883644430714294
Round_Spermatids,OA,OA vs Ctrl,HALLMARK_PROTEIN_SECRETION,Protein Secretion,93,1.50217513145371,0.0115925469314513,0.0199871498818125,0.00631173154162501,5163,"tags=55%, list=14%, signal=47%",CD63/SOD1/CAV2/SEC31A/ATP1A1/LMAN1/DNM1L/VAMP3/COPE/CLTC/TMX1/ERGIC3/LAMP2/PAM/ARCN1/YIPF6/SEC24D/AP3B1/YKT6/NAPG/STX12/OCRL/TMED2/RAB14/ARFGAP3/STX7/ANP32E/USO1/SEC22B/ARF1/SSPN/COPB1/CTSC/ICA1/EGFR/ATP6V1H/COG2/GALC/ADAM10/CLCN3/SGMS1/GLA/ARFGEF1/VAMP7/TMED10/ARFGEF2/RAB22A/SNAP23/RER1/AP2S1/GOSR2,1.699249130786853
Round_Spermatids,OA,OA vs Ctrl,HALLMARK_WNT_BETA_CATENIN_SIGNALING,Wnt Beta Catenin Signaling,42,1.56730081326369,0.0143212307386242,0.0238687178977071,0.00753748986243381,6186,"tags=48%, list=17%, signal=40%",JAG1/CTNNB1/NKD1/CCND2/MYC/CUL1/HDAC11/CSNK1E/GNAI1/ADAM17/RBPJ/PTCH1/HDAC2/DVL2/NOTCH1/HEY1/AXIN2/JAG2/PPARD/WNT6,1.6221709083876832
