stage,group,comparison,pathway,pathway_readable,setSize,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment,neglog10_fdr
Late_primary_SPCs,OA,OA vs Ctrl,HALLMARK_MTORC1_SIGNALING,Mtorc1 Signaling,197,-1.00885979297551,0.449204406364749,0.70188188494492,0.70188188494492,3484,"tags=24%, list=9%, signal=22%",VLDLR/UNG/PPA1/UCHL5/SLC1A5/PNO1/PSMC4/FKBP2/ACTR2/RAB1A/ACTR3/SLC9A3R1/PSPH/RPA1/PSME3/PSMA4/SDF2L1/PSMA3/TUBG1/PSMB5/SEC11A/STIP1/SERP1/PHGDH/HSPE1/ELOVL5/ENO1/IDI1/HMGCS1/M6PR/PDAP1/PLK1/COPS5/GOT1/PSMD13/PSMC2/PSMD14/UBE2D3/DDIT3/ARPC5L/LDHA/SQSTM1/CALR/CACYBP/PRDX1/AURKA/PSMG1/GAPDH,0.1537359662642136
Late_primary_SPCs,OA,OA vs Ctrl,HALLMARK_ANDROGEN_RESPONSE,Androgen Response,98,-0.949749665337519,0.557768924302789,0.802587865011366,0.802587865011365,2371,"tags=16%, list=6%, signal=15%",UAP1/CENPN/MYL12A/XRCC6/ELOVL5/IDI1/HMGCS1/PGM3/DNAJB9/UBE2I/TSC22D1/PA2G4/PLPP1/SRP19/DBI/ADRM1,0.09550741100941086
Late_primary_SPCs,OA,OA vs Ctrl,HALLMARK_HEME_METABOLISM,Heme Metabolism,194,-0.962549680854145,0.561811505507956,0.802587865011366,0.802587865011365,3572,"tags=17%, list=10%, signal=15%",NARF/AGPAT4/ADIPOR1/MYL4/TSPAN5/UCP2/PPOX/CDR2/PGLS/CCDC28A/RNF123/NUDT4/BMP2K/FTCD/UBAC1/DCAF11/CIR1/UROD/GLRX5/HDGF/SLC30A1/ACSL6/HAGH/HTATIP2/YPEL5/MKRN1/OSBP2/SMOX/OPTN/HTRA2/RAD23A/BSG/ARL2BP,0.09550741100941086
Late_primary_SPCs,OA,OA vs Ctrl,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,Unfolded Protein Response,109,-0.973472269893084,0.54025974025974,0.802587865011366,0.802587865011365,3616,"tags=29%, list=10%, signal=27%",EEF2/ZBTB17/EIF2S1/ALDH18A1/ARFGAP1/BANF1/NOP56/EXOSC9/EXOSC5/GEMIN4/CXXC1/KIF5B/CKS1B/PREB/HYOU1/SEC11A/SERP1/EXOSC10/KHSRP/PAIP1/DNAJB9/ATF4/TUBB2A/LSM4/YIF1A/ATP6V0D1/LSM1/CALR/EIF4A3/EXOSC4/PDIA6/NHP2,0.09550741100941086
Late_primary_SPCs,OA,OA vs Ctrl,HALLMARK_APICAL_SURFACE,Apical Surface,42,0.880327241886857,0.653374233128834,0.849978750531237,0.849978750531237,2648,"tags=17%, list=7%, signal=16%",BRCA1/ADIPOR2/CRYBG1/HSPB1/DCBLD2/NCOA6/ADAM10,0.07059193151203996
Late_primary_SPCs,OA,OA vs Ctrl,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Epithelial Mesenchymal Transition,198,0.916385658327704,0.662983425414365,0.849978750531237,0.849978750531237,3400,"tags=10%, list=9%, signal=9%",MYLK/FBN2/CADM1/GADD45B/MGP/AREG/COPA/SERPINE2/SPOCK1/CALD1/FBN1/ITGB1/ENO2/NOTCH2/LGALS1/THBS1/TPM2/MYL9/TIMP3,0.07059193151203996
Late_primary_SPCs,OA,OA vs Ctrl,HALLMARK_HEDGEHOG_SIGNALING,Hedgehog Signaling,36,0.89663125705452,0.637462235649547,0.849978750531237,0.849978750531237,4979,"tags=17%, list=13%, signal=14%",NF1/HEY2/SLIT1/DPYSL2/MYH9/NRCAM,0.07059193151203996
Late_primary_SPCs,OA,OA vs Ctrl,HALLMARK_INTERFERON_GAMMA_RESPONSE,Interferon Gamma Response,195,-0.933649939917493,0.630937880633374,0.849978750531237,0.849978750531237,4465,"tags=13%, list=12%, signal=12%",HLA-G/IFITM2/CMPK2/TNFAIP6/RBCK1/MX2/TRAFD1/TNFAIP3/FAS/PSME2/TRIM14/PSMB2/NUP93/MYD88/PFKP/PSMA3/SP110/CMTR1/SLC25A28/SRI/LAP3/ARL4A/VAMP8/PSMA2/HLA-DRB1/HLA-B,0.07059193151203996
Late_primary_SPCs,OA,OA vs Ctrl,HALLMARK_ANGIOGENESIS,Angiogenesis,35,0.854876812749467,0.707964601769911,0.863371465573063,0.863371465573063,5888,"tags=20%, list=16%, signal=17%",LRPAP1/PTK2/LPL/FGFR1/POSTN/S100A4/PDGFA,0.06380230887519274
Late_primary_SPCs,OA,OA vs Ctrl,HALLMARK_COMPLEMENT,Complement,199,-0.90345473661065,0.698296836982968,0.863371465573063,0.863371465573063,3916,"tags=13%, list=10%, signal=12%",CASP9/PRKCD/CPQ/LYN/RAF1/EHD1/TNFAIP3/PPP2CB/DUSP6/ADAM9/XPNPEP1/TIMP2/CTSD/MSRB1/GNG2/SCG3/GCA/KYNU/PRCP/CD59/LAP3/RABIF/USP8/CTSL/CALM3/CLU,0.06380230887519274
